Metric,Frequency (Hz),p_value,Mean_Exp,Mean_Ctrl
CO2_smooth,551.5,1.564471181889801e-06,4417.3,1425.607163000564
CO2_smooth,557.1,1.5679594982500944e-06,4542.0,1425.607163000564
CO2_smooth,556.9,1.602709643676819e-06,4544.777777777777,1425.607163000564
CO2_smooth,579.3,1.6183906952081493e-06,4373.888888888889,1425.607163000564
CO2_smooth,579.5,1.622333935979704e-06,4374.888888888889,1425.607163000564
CO2_smooth,587.5,1.6321374851855374e-06,4215.4,1425.607163000564
CO2_smooth,556.7,1.6328944504199804e-06,4547.888888888889,1425.607163000564
CO2_smooth,579.7,1.6408581875584046e-06,4374.666666666667,1425.607163000564
CO2_smooth,579.9,1.6461880682355579e-06,4375.444444444444,1425.607163000564
CO2_smooth,580.3,1.6488592370621132e-06,4376.111111111111,1425.607163000564
CO2_smooth,580.1,1.6501963832747144e-06,4375.222222222223,1425.607163000564
CO2_smooth,580.5,1.6622777195994197e-06,4376.777777777777,1425.607163000564
CO2_smooth,556.5,1.670379128637459e-06,4550.888888888889,1425.607163000564
CO2_smooth,581.3,1.69079899664281e-06,4379.444444444444,1425.607163000564
CO2_smooth,556.3,1.7004101875872554e-06,4554.222222222223,1425.607163000564
CO2_smooth,581.1,1.7031658693248482e-06,4380.333333333333,1425.607163000564
CO2_smooth,580.7,1.705925837440575e-06,4377.111111111111,1425.607163000564
CO2_smooth,580.9,1.7086901146119207e-06,4378.111111111111,1425.607163000564
CO2_smooth,556.1,1.7281609051970304e-06,4557.555555555556,1425.607163000564
CO2_smooth,581.7,1.7393826220607694e-06,4378.444444444444,1425.607163000564
CO2_smooth,555.9,1.7421989685273361e-06,4560.777777777777,1425.607163000564
CO2_smooth,581.9,1.7478448309472319e-06,4381.222222222223,1425.607163000564
CO2_smooth,582.1,1.7506743488800862e-06,4382.888888888889,1425.607163000564
CO2_smooth,582.3,1.769173797315473e-06,4382.666666666667,1425.607163000564
CO2_smooth,555.7,1.7706045895289791e-06,4564.222222222223,1425.607163000564
CO2_smooth,555.5,1.7965497195879702e-06,4568.0,1425.607163000564
CO2_smooth,582.5,1.8125845410924028e-06,4382.333333333333,1425.607163000564
CO2_smooth,555.3,1.8213886678474943e-06,4571.777777777777,1425.607163000564
CO2_smooth,555.1,1.8465574018010304e-06,4575.555555555556,1425.607163000564
CO2_smooth,582.7,1.8615183000932528e-06,4380.555555555556,1425.607163000564
CO2_smooth,583.1,1.8675352074993245e-06,4382.111111111111,1425.607163000564
CO2_smooth,582.9,1.8720601432936549e-06,4380.555555555556,1425.607163000564
CO2_smooth,583.3,1.882659332932027e-06,4382.888888888889,1425.607163000564
CO2_smooth,554.9,1.8872194758981975e-06,4579.444444444444,1425.607163000564
CO2_smooth,583.5,1.8872194758981975e-06,4385.888888888889,1425.607163000564
CO2_smooth,583.7,1.9132614031431132e-06,4387.888888888889,1425.607163000564
CO2_smooth,548.5,1.9187773737082874e-06,4482.8,1425.607163000564
CO2_smooth,554.7,1.9240845923337263e-06,4583.555555555556,1425.607163000564
CO2_smooth,583.9,1.9774965021248268e-06,4388.0,1425.607163000564
CO2_smooth,554.3,1.9966856199798743e-06,4590.777777777777,1425.607163000564
CO2_smooth,584.1,2.019299031063483e-06,4389.444444444444,1425.607163000564
CO2_smooth,554.1,2.0290656182287643e-06,4594.333333333333,1425.607163000564
CO2_smooth,584.3,2.055332171059539e-06,4389.777777777777,1425.607163000564
CO2_smooth,584.7,2.117330402682992e-06,4391.777777777777,1425.607163000564
CO2_smooth,553.9,2.132680452576642e-06,4595.888888888889,1425.607163000564
CO2_smooth,584.9,2.1567709409688235e-06,4393.444444444444,1425.607163000564
CO2_smooth,585.1,2.209276525050045e-06,4394.111111111111,1425.607163000564
CO2_smooth,585.3,2.2666348128693816e-06,4394.666666666667,1425.607163000564
CO2_smooth,585.5,2.3347382250769656e-06,4396.0,1425.607163000564
CO2_smooth,585.7,2.3952190010701955e-06,4397.444444444444,1425.607163000564
CO2_smooth,553.7,2.4221497865744133e-06,4596.0,1425.607163000564
CO2_smooth,585.9,2.4552423528473228e-06,4399.111111111111,1425.607163000564
CO2_smooth,586.1,2.504697436696875e-06,4401.0,1425.607163000564
CO2_smooth,553.5,2.542921420418002e-06,4598.555555555556,1425.607163000564
CO2_smooth,586.3,2.5920051519590044e-06,4401.777777777777,1425.607163000564
CO2_smooth,553.3,2.5940699360880665e-06,4602.444444444444,1425.607163000564
CO2_smooth,553.1,2.6546394832691427e-06,4606.888888888889,1425.607163000564
CO2_smooth,586.5,2.669461812904796e-06,4404.0,1425.607163000564
CO2_smooth,552.9,2.68222984502519e-06,4611.0,1425.607163000564
CO2_smooth,552.7,2.707941959078567e-06,4613.666666666667,1425.607163000564
CO2_smooth,586.7,2.773261254023103e-06,4405.777777777777,1425.607163000564
CO2_smooth,552.5,2.7754643946923336e-06,4616.888888888889,1425.607163000564
CO2_smooth,552.3,2.8198815347406134e-06,4621.444444444444,1425.607163000564
CO2_smooth,552.1,2.869528044878794e-06,4626.222222222223,1425.607163000564
CO2_smooth,586.9,2.8718044989459937e-06,4407.444444444444,1425.607163000564
CO2_smooth,551.9,2.890078779253503e-06,4630.555555555556,1425.607163000564
CO2_smooth,551.7,2.922327533736243e-06,4634.888888888889,1425.607163000564
CO2_smooth,545.5,2.9599407847559603e-06,4553.1,1425.607163000564
CO2_smooth,587.1,2.97134878439021e-06,4410.111111111111,1425.607163000564
CO2_smooth,551.3,3.0693402324379273e-06,4644.777777777777,1425.607163000564
CO2_smooth,587.3,3.0741987554773725e-06,4413.222222222223,1425.607163000564
CO2_smooth,551.1,3.1133333734958473e-06,4648.444444444444,1425.607163000564
