filename,type,effect_score,freq,slope_m
25-10-30 1119 21.txt,experiment,210.42161366607777,unknown_freq,5.279750441671574
25-10-30 1141 21.txt,experiment,-107.35471273754936,unknown_freq,6.204553161701799
25-10-30 1159 21 22.txt,experiment,132.34414956462464,unknown_freq,5.667826531405906
25-10-30 1215 21.txt,experiment,151.59015202020743,unknown_freq,4.315984844276049
25-10-30 1228 22.txt,experiment,46.84011850131633,unknown_freq,5.34112401248903
25-10-30 1241 22.txt,experiment,103.91119956888396,unknown_freq,6.120323336925967
25-11-4 1025 25.txt,experiment,154.21987920236137,unknown_freq,9.32059822886921
25-11-4 1045 23.txt,experiment,272.4472501546306,unknown_freq,5.102384026489189
25-11-4 1142 23.txt,experiment,114.28283073515642,unknown_freq,7.296948632762586
25-11-4 1153.txt,experiment,297.78166525924325,unknown_freq,7.301055567284084
25-11-4 1210 23.txt,experiment,265.2599737219296,unknown_freq,8.509708552317253
25-11-4 1100 23.txt,experiment,463.27732502583353,unknown_freq,6.016230624784721
25-11-4 1110 24.txt,experiment,208.02500814823853,unknown_freq,5.773888820986902
25-11-4 1125 23.txt,experiment,286.8929206620814,unknown_freq,7.729503438927099
25-11-06 1025 23.txt,experiment,-284.14178342722334,unknown_freq,8.297570417449084
25-11-06 1040 23.txt,experiment,-314.0468248721282,unknown_freq,9.128654096156625
25-11-06 1140.txt,experiment,98.54839100064072,unknown_freq,7.0367495194391045
25-11-06 1059.txt,experiment,-14.064989790194247,unknown_freq,6.383805470473842
25-11-06 1115.txt,experiment,-74.99840813046102,unknown_freq,5.506097845531619
25-11-06 1125.txt,experiment,-65.40949899443352,unknown_freq,6.524245824953613
25-11-06 1152.txt,experiment,-214.4911724945095,unknown_freq,10.81937088189869
