Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 420 nan nan
1 420 nan nan
2 420 0 0
3 420 0 0
4 420 0 0
5 420 0 0
6 420 0 0
7 420 0 0
8 420 0 0
9 420 0 0
10 421 1.5 1.25
11 421 -0.5 -1.5
12 421 0 0.25
13 421 0 0
14 421 0 0
15 421 0 0
16 421 0 0
17 421 0 0
18 421 0 0
19 421 0 0
20 421 0 0
21 421 0 0
22 421 0 0
23 421 0 0
24 421 0 0
25 421 0 0
26 421 0 0
27 422 1.5 1.25
28 422 -0.5 -1.5
29 422 0 0.25
30 422 0 0
31 423 1.5 1.25
32 423 -0.5 -1.5
33 423 0 0.25
34 424 1.5 1.25
35 424 -0.5 -1.5
36 424 0 0.25
37 424 0 0
38 425 1.5 1.25
39 425 -0.5 -1.5
40 425 0 0.25
41 426 1.5 1.25
42 426 -0.5 -1.5
43 426 0 0.25
44 427 1.5 1.25
45 427 -0.5 -1.5
46 427 0 0.25
47 428 1.5 1.25
48 428 -0.5 -1.5
49 428 0 0.25
50 429 1.5 1.25
51 429 -0.5 -1.5
52 430 1.5 1.5
53 430 -0.5 -1.5
54 431 1.5 1.5
55 431 -0.5 -1.5
56 432 1.5 1.5
57 433 1 -0.25
58 433 -0.5 -1.25
59 434 1.5 1.5
60 435 1 -0.25
61 435 -0.5 -1.25
62 436 1.5 1.5
63 436 -0.5 -1.5
64 437 1.5 1.5
65 438 1 -0.25
66 438 -0.5 -1.25
67 439 1.5 1.5
68 440 1 -0.25
69 440 -0.5 -1.25
70 441 1.5 1.5
71 442 1 -0.25
72 442 -0.5 -1.25
73 443 1.5 1.5
74 444 1 -0.25
75 445 1 0
76 445 -0.5 -1.25
77 446 1.5 1.5
78 447 1 -0.25
79 447 -0.5 -1.25
80 448 1.5 1.5
81 449 1 -0.25
82 449 -0.5 -1.25
83 450 1.5 1.5
84 451 1 -0.25
85 452 1 0
86 453 1 0
87 454 1 0
88 455 1 0
89 455 -0.5 -1.25
90 456 1.5 1.5
91 457 1 -0.25
92 457 -0.5 -1.25
93 458 1.5 1.5
94 458 -0.5 -1.5
95 459 1.5 1.5
96 460 1 -0.25
97 460 -0.5 -1.25
98 461 1.5 1.5
99 462 1 -0.25
100 463 1 0
101 463 -0.5 -1.25
102 464 1.5 1.5
103 465 1 -0.25
104 466 1 0
105 467 1 0
106 467 -0.5 -1.25
107 468 1.5 1.5
108 469 1 -0.25
109 469 -0.5 -1.25
110 470 1.5 1.5
111 470 -0.5 -1.5
112 471 1.5 1.5
113 471 -0.5 -1.5
114 472 1.5 1.5
115 473 1 -0.25
116 473 -0.5 -1.25
117 474 1.5 1.5
118 474 -0.5 -1.5
119 475 1.5 1.5
120 476 1 -0.25
121 477 1 0
122 478 1 0
123 478 -0.5 -1.25
124 479 1.5 1.5
125 480 1 -0.25
126 481 1 0
127 482 1 0
128 482 -0.5 -1.25
129 483 1.5 1.5
130 484 1 -0.25
131 484 -0.5 -1.25
132 485 1.5 1.5
133 485 -0.5 -1.5
134 486 1.5 1.5
135 487 1 -0.25
136 488 1 0
137 488 -0.5 -1.25
138 489 1.5 1.5
139 490 1 -0.25
140 491 1 0
141 491 -0.5 -1.25
142 492 1.5 1.5
143 493 1 -0.25
144 493 -0.5 -1.25
145 494 1.5 1.5
146 495 1 -0.25
147 496 1 0
148 497 1 0
149 498 1 0
150 499 1 0
151 499 -0.5 -1.25
152 500 1.5 1.5
153 501 1 -0.25
154 501 -0.5 -1.25
155 501 0 0.25
156 502 1.5 1.25
157 502 -0.5 -1.5
158 502 0 0.25
159 502 0 0
160 502 0 0
161 503 1.5 1.25
162 503 -0.5 -1.5
163 503 0 0.25
164 503 0 0
165 504 1.5 1.25
166 504 -0.5 -1.5
167 504 0 0.25
168 505 1.5 1.25
169 505 -0.5 -1.5
170 505 0 0.25
171 505 0 0
172 506 1.5 1.25
173 506 -0.5 -1.5
174 506 0 0.25
175 506 0 0
176 507 1.5 1.25
177 507 -0.5 -1.5
178 507 0 0.25
179 508 1.5 1.25
180 508 -0.5 -1.5
181 508 0 0.25
182 509 1.5 1.25
183 509 -0.5 -1.5
184 509 0 0.25
185 509 0 0
186 510 1.5 1.25
187 510 -0.5 -1.5
188 510 0 0.25
189 511 1.5 1.25
190 511 -0.5 -1.5
191 511 0 0.25
192 512 1.5 1.25
193 512 -0.5 -1.5
194 512 0 0.25
195 513 1.5 1.25
196 513 -0.5 -1.5
197 513 0 0.25
198 513 0 0
199 514 1.5 1.25
200 514 -0.5 -1.5
201 514 0 0.25
202 514 0 0
203 515 1.5 1.25
204 515 -0.5 -1.5
205 515 0 0.25
206 516 1.5 1.25
207 516 -0.5 -1.5
208 516 0 0.25
209 517 1.5 1.25
210 517 -0.5 -1.5
211 517 0 0.25
212 518 1.5 1.25
213 518 -0.5 -1.5
214 518 0 0.25
215 518 0 0
216 519 1.5 1.25
217 519 -0.5 -1.5
218 519 0 0.25
219 519 0 0
220 520 1.5 1.25
221 520 -0.5 -1.5
222 520 0 0.25
223 521 1.5 1.25
224 521 -0.5 -1.5
225 521 0 0.25
226 521 0 0
227 522 1.5 1.25
228 522 -0.5 -1.5
229 522 0 0.25
230 522 0 0
231 523 1.5 1.25
232 523 -0.5 -1.5
233 523 0 0.25
234 523 0 0
235 524 1.5 1.25
236 524 -0.5 -1.5
237 524 0 0.25
238 525 1.5 1.25
239 525 -0.5 -1.5
240 526 1.5 1.5
241 526 -0.5 -1.5
242 526 0 0.25
243 527 1.5 1.25
244 527 -0.5 -1.5
245 527 0 0.25
246 528 1.5 1.25
247 528 -0.5 -1.5
248 528 0 0.25
