Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 406 nan nan
1 406 nan nan
2 406 0 0
3 407 1.5 1.25
4 410 4 2.25
5 416 7.5 3.25
6 424 9 1.75
7 432 8 -0.5
8 437 3.5 -3.75
9 440 2 -1.75
10 440 -1.5 -3.25
11 440 0 0.75
12 440 0 0
13 439 -1.5 -1.25
14 439 0.5 1.5
15 438 -1.5 -1.5
16 438 0.5 1.5
17 437 -1.5 -1.5
18 436 -1 0.25
19 436 0.5 1.25
20 436 0 -0.25
21 435 -1.5 -1.25
22 435 0.5 1.5
23 435 0 -0.25
24 435 0 0
25 435 0 0
26 434 -1.5 -1.25
27 434 0.5 1.5
28 433 -1.5 -1.5
29 433 0.5 1.5
30 432 -1.5 -1.5
31 432 0.5 1.5
32 431 -1.5 -1.5
33 431 0.5 1.5
34 431 0 -0.25
35 430 -1.5 -1.25
36 430 0.5 1.5
37 430 0 -0.25
38 429 -1.5 -1.25
39 429 0.5 1.5
40 429 0 -0.25
41 429 0 0
42 429 0 0
43 429 0 0
44 429 0 0
45 428 -1.5 -1.25
46 428 0.5 1.5
47 428 0 -0.25
48 428 0 0
49 427 -1.5 -1.25
50 427 0.5 1.5
51 427 0 -0.25
52 427 0 0
53 427 0 0
54 427 0 0
55 427 0 0
56 427 0 0
57 427 0 0
58 427 0 0
59 427 0 0
60 427 0 0
61 427 0 0
62 427 0 0
63 427 0 0
64 427 0 0
65 427 0 0
66 427 0 0
67 427 0 0
68 427 0 0
69 427 0 0
70 428 1.5 1.25
71 428 -0.5 -1.5
72 428 0 0.25
73 428 0 0
74 429 1.5 1.25
75 429 -0.5 -1.5
76 429 0 0.25
77 429 0 0
78 429 0 0
79 429 0 0
80 429 0 0
81 430 1.5 1.25
82 430 -0.5 -1.5
83 430 0 0.25
84 430 0 0
85 430 0 0
86 430 0 0
87 430 0 0
88 430 0 0
89 430 0 0
90 430 0 0
91 431 1.5 1.25
92 431 -0.5 -1.5
93 431 0 0.25
94 431 0 0
95 431 0 0
96 432 1.5 1.25
97 432 -0.5 -1.5
98 432 0 0.25
99 433 1.5 1.25
100 433 -0.5 -1.5
101 434 1.5 1.5
102 434 -0.5 -1.5
103 435 1.5 1.5
104 435 -0.5 -1.5
105 435 0 0.25
106 436 1.5 1.25
107 436 -0.5 -1.5
108 436 0 0.25
109 436 0 0
110 436 0 0
111 436 0 0
112 437 1.5 1.25
113 437 -0.5 -1.5
114 437 0 0.25
115 438 1.5 1.25
116 438 -0.5 -1.5
117 439 1.5 1.5
118 439 -0.5 -1.5
119 439 0 0.25
120 439 0 0
121 440 1.5 1.25
122 440 -0.5 -1.5
123 441 1.5 1.5
124 442 1 -0.25
125 442 -0.5 -1.25
126 443 1.5 1.5
127 443 -0.5 -1.5
128 444 1.5 1.5
129 444 -0.5 -1.5
130 445 1.5 1.5
131 445 -0.5 -1.5
132 446 1.5 1.5
133 446 -0.5 -1.5
134 447 1.5 1.5
135 447 -0.5 -1.5
136 448 1.5 1.5
137 448 -0.5 -1.5
138 448 0 0.25
139 449 1.5 1.25
140 449 -0.5 -1.5
141 450 1.5 1.5
142 450 -0.5 -1.5
143 450 0 0.25
144 451 1.5 1.25
145 451 -0.5 -1.5
146 451 0 0.25
147 451 0 0
148 452 1.5 1.25
149 452 -0.5 -1.5
150 453 1.5 1.5
151 453 -0.5 -1.5
152 453 0 0.25
153 454 1.5 1.25
154 454 -0.5 -1.5
155 455 1.5 1.5
156 455 -0.5 -1.5
157 456 1.5 1.5
158 456 -0.5 -1.5
159 457 1.5 1.5
160 457 -0.5 -1.5
161 458 1.5 1.5
162 458 -0.5 -1.5
163 459 1.5 1.5
164 459 -0.5 -1.5
165 460 1.5 1.5
166 460 -0.5 -1.5
167 461 1.5 1.5
168 461 -0.5 -1.5
169 462 1.5 1.5
170 462 -0.5 -1.5
171 463 1.5 1.5
172 464 1 -0.25
173 464 -0.5 -1.25
174 465 1.5 1.5
175 466 1 -0.25
176 466 -0.5 -1.25
177 467 1.5 1.5
178 468 1 -0.25
179 468 -0.5 -1.25
180 469 1.5 1.5
181 469 -0.5 -1.5
182 470 1.5 1.5
183 470 -0.5 -1.5
184 470 0 0.25
185 471 1.5 1.25
186 471 -0.5 -1.5
187 472 1.5 1.5
188 472 -0.5 -1.5
189 473 1.5 1.5
190 473 -0.5 -1.5
191 474 1.5 1.5
192 474 -0.5 -1.5
193 475 1.5 1.5
194 475 -0.5 -1.5
195 476 1.5 1.5
196 476 -0.5 -1.5
197 476 0 0.25
198 476 0 0
199 476 0 0
200 477 1.5 1.25
201 478 1 -0.25
202 478 -0.5 -1.25
203 479 1.5 1.5
204 480 1 -0.25
205 480 -0.5 -1.25
206 481 1.5 1.5
207 481 -0.5 -1.5
208 482 1.5 1.5
209 482 -0.5 -1.5
210 483 1.5 1.5
211 484 1 -0.25
212 484 -0.5 -1.25
213 485 1.5 1.5
214 485 -0.5 -1.5
215 486 1.5 1.5
216 486 -0.5 -1.5
217 487 1.5 1.5
218 487 -0.5 -1.5
219 488 1.5 1.5
220 488 -0.5 -1.5
221 489 1.5 1.5
222 489 -0.5 -1.5
223 490 1.5 1.5
224 491 1 -0.25
225 491 -0.5 -1.25
226 492 1.5 1.5
