Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 576 nan nan
1 577 nan nan
2 577 -0.5 -1
3 578 1.5 1.5
4 578 -0.5 -1.5
5 579 1.5 1.5
6 579 -0.5 -1.5
7 580 1.5 1.5
8 580 -0.5 -1.5
9 581 1.5 1.5
10 581 -0.5 -1.5
11 581 0 0.25
12 582 1.5 1.25
13 582 -0.5 -1.5
14 583 1.5 1.5
15 583 -0.5 -1.5
16 583 0 0.25
17 584 1.5 1.25
18 584 -0.5 -1.5
19 584 0 0.25
20 585 1.5 1.25
21 585 -0.5 -1.5
22 586 1.5 1.5
23 586 -0.5 -1.5
24 586 0 0.25
25 587 1.5 1.25
26 587 -0.5 -1.5
27 588 1.5 1.5
28 588 -0.5 -1.5
29 588 0 0.25
30 589 1.5 1.25
31 589 -0.5 -1.5
32 590 1.5 1.5
33 590 -0.5 -1.5
34 590 0 0.25
35 591 1.5 1.25
36 591 -0.5 -1.5
37 591 0 0.25
38 592 1.5 1.25
39 592 -0.5 -1.5
40 593 1.5 1.5
41 593 -0.5 -1.5
42 593 0 0.25
43 593 0 0
44 594 1.5 1.25
45 594 -0.5 -1.5
46 594 0 0.25
47 594 0 0
48 595 1.5 1.25
49 595 -0.5 -1.5
50 595 0 0.25
51 595 0 0
52 595 0 0
53 596 1.5 1.25
54 596 -0.5 -1.5
55 596 0 0.25
56 596 0 0
57 597 1.5 1.25
58 597 -0.5 -1.5
59 597 0 0.25
60 598 1.5 1.25
61 598 -0.5 -1.5
62 598 0 0.25
63 598 0 0
64 598 0 0
65 599 1.5 1.25
66 599 -0.5 -1.5
67 599 0 0.25
68 599 0 0
69 599 0 0
70 600 1.5 1.25
71 600 -0.5 -1.5
72 600 0 0.25
73 600 0 0
74 600 0 0
75 600 0 0
76 602 3 2.5
77 602 -1 -3
78 604 3 3
79 604 -1 -3
80 604 0 0.5
81 606 3 2.5
82 606 -1 -3
83 608 3 3
84 608 -1 -3
85 610 3 3
86 610 -1 -3
87 612 3 3
88 612 -1 -3
89 612 0 0.5
90 614 3 2.5
91 614 -1 -3
92 614 0 0.5
93 616 3 2.5
94 616 -1 -3
95 616 0 0.5
96 618 3 2.5
97 618 -1 -3
98 620 3 3
99 620 -1 -3
100 622 3 3
101 622 -1 -3
102 624 3 3
103 624 -1 -3
104 626 3 3
105 626 -1 -3
106 626 0 0.5
107 628 3 2.5
108 628 -1 -3
109 630 3 3
110 630 -1 -3
111 630 0 0.5
112 632 3 2.5
113 632 -1 -3
114 632 0 0.5
115 634 3 2.5
116 634 -1 -3
117 634 0 0.5
118 634 0 0
119 636 3 2.5
120 636 -1 -3
121 636 0 0.5
122 638 3 2.5
123 638 -1 -3
124 638 0 0.5
125 638 0 0
126 638 0 0
127 640 3 2.5
128 640 -1 -3
129 640 0 0.5
130 642 3 2.5
131 642 -1 -3
132 642 0 0.5
133 642 0 0
134 644 3 2.5
135 644 -1 -3
136 644 0 0.5
137 644 0 0
138 646 3 2.5
139 646 -1 -3
140 646 0 0.5
141 646 0 0
142 646 0 0
143 648 3 2.5
144 648 -1 -3
145 648 0 0.5
146 650 3 2.5
147 650 -1 -3
148 650 0 0.5
149 650 0 0
150 650 0 0
151 650 0 0
152 652 3 2.5
153 652 -1 -3
154 652 0 0.5
155 654 3 2.5
156 654 -1 -3
157 654 0 0.5
158 654 0 0
159 654 0 0
160 656 3 2.5
161 656 -1 -3
162 656 0 0.5
163 656 0 0
164 656 0 0
165 656 0 0
166 656 0 0
167 658 3 2.5
168 658 -1 -3
169 658 0 0.5
170 660 3 2.5
171 660 -1 -3
172 660 0 0.5
173 660 0 0
174 660 0 0
175 662 3 2.5
176 662 -1 -3
177 662 0 0.5
178 662 0 0
179 662 0 0
180 662 0 0
181 662 0 0
182 664 3 2.5
183 664 -1 -3
184 664 0 0.5
185 664 0 0
186 664 0 0
187 664 0 0
188 666 3 2.5
189 666 -1 -3
190 666 0 0.5
191 666 0 0
192 666 0 0
193 666 0 0
194 666 0 0
195 668 3 2.5
196 668 -1 -3
197 668 0 0.5
198 668 0 0
199 668 0 0
200 668 0 0
201 670 3 2.5
202 670 -1 -3
203 670 0 0.5
204 670 0 0
205 670 0 0
206 670 0 0
207 670 0 0
208 670 0 0
209 670 0 0
210 670 0 0
211 672 3 2.5
212 672 -1 -3
213 672 0 0.5
214 672 0 0
215 674 3 2.5
216 674 -1 -3
217 674 0 0.5
218 674 0 0
219 674 0 0
220 674 0 0
221 676 3 2.5
222 676 -1 -3
223 676 0 0.5
224 678 3 2.5
225 678 -1 -3
226 678 0 0.5
227 678 0 0
228 678 0 0
229 680 3 2.5
230 680 -1 -3
231 680 0 0.5
232 680 0 0
233 680 0 0
234 680 0 0
235 680 0 0
236 680 0 0
237 680 0 0
238 680 0 0
239 680 0 0
240 680 0 0
241 680 0 0
242 682 3 2.5
243 682 -1 -3
244 682 0 0.5
245 682 0 0
246 682 0 0
247 682 0 0
248 682 0 0
249 682 0 0
250 682 0 0
251 682 0 0
252 682 0 0
253 654 -42 -35
254 628 -25 9.5
255 602 -26 -0.5
256 602 13 32.5
257 602 0 -6.5
258 604 3 2.5
259 604 -1 -3
260 604 0 0.5
261 604 0 0
262 606 3 2.5
263 606 -1 -3
264 606 0 0.5
265 606 0 0
266 606 0 0
267 606 0 0
268 606 0 0
269 606 0 0
270 606 0 0
271 608 3 2.5
272 608 -1 -3
273 608 0 0.5
274 610 3 2.5
275 610 -1 -3
276 610 0 0.5
277 610 0 0
278 612 3 2.5
279 612 -1 -3
280 612 0 0.5
281 612 0 0
282 612 0 0
283 612 0 0
284 612 0 0
285 614 3 2.5
286 614 -1 -3
287 614 0 0.5
288 614 0 0
289 614 0 0
290 616 3 2.5
291 616 -1 -3
292 616 0 0.5
293 616 0 0
294 616 0 0
295 616 0 0
296 616 0 0
297 616 0 0
298 616 0 0
299 616 0 0
300 616 0 0
301 616 0 0
302 616 0 0
303 618 3 2.5
304 618 -1 -3
305 618 0 0.5
306 618 0 0
307 620 3 2.5
308 620 -1 -3
309 620 0 0.5
310 620 0 0
