Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 598 nan nan
1 598 nan nan
2 598 0 0
3 598 0 0
4 598 0 0
5 599 1.5 1.25
6 599 -0.5 -1.5
7 599 0 0.25
8 600 1.5 1.25
9 600 -0.5 -1.5
10 602 3 2.75
11 604 2 -0.5
12 614 14 10
13 632 22 8
14 658 30 8
15 674 11 -14.5
16 682 4 -7.5
17 682 -4 -8
18 684 3 4.5
19 684 -1 -3
20 690 9 8
21 702 15 6
22 720 21 6
23 734 12 -6.5
24 744 8 -4
25 748 1 -6.5
26 750 1 -1
27 752 2 0.5
28 756 5 2.5
29 766 13 7
30 782 19 6
31 796 13 -4
32 806 8 -4.5
33 812 4 -4
34 816 3 -1.5
35 816 -2 -4.5
36 822 9 8.5
37 830 9 1
38 840 11 2
39 848 7 -3
40 852 2 -4.5
41 852 -2 -4
42 854 3 3.5
43 856 2 -0.5
44 858 2 0
45 858 -1 -2.5
46 860 3 3
47 862 2 -0.5
48 864 2 0
49 868 5 2.5
50 870 1 -3
51 874 5 3
52 878 4 -0.5
53 880 1 -2.5
54 884 5 3
55 888 4 -0.5
56 892 4 0
57 896 4 0
58 900 4 0
59 904 4 0
60 908 4 0
61 912 4 0
62 916 4 0
63 920 4 0
64 926 7 2.5
65 930 3 -3
66 934 4 0.5
67 938 4 0
68 942 4 0
69 948 7 2.5
70 952 3 -3
71 956 4 0.5
72 960 4 0
73 964 4 0
74 970 7 2.5
75 974 3 -3
76 978 4 0.5
77 982 4 0
78 988 7 2.5
79 992 3 -3
80 996 4 0.5
81 1000 4 0
82 1002 1 -2.5
83 1005 3.5 1.75
84 1007 1.5 -1.5
85 1010 3.5 1.5
86 1013 3 -0.25
87 1015 1.5 -1.25
88 1018 3.5 1.5
89 1021 3 -0.25
90 1024 3 0
91 1026 1.5 -1.25
92 1029 3.5 1.5
93 1031 1.5 -1.5
94 1034 3.5 1.5
95 1036 1.5 -1.5
96 1039 3.5 1.5
97 1042 3 -0.25
98 1044 1.5 -1.25
99 1047 3.5 1.5
100 1050 3 -0.25
101 1052 1.5 -1.25
102 1055 3.5 1.5
103 1058 3 -0.25
104 1060 1.5 -1.25
105 1063 3.5 1.5
106 1066 3 -0.25
107 1068 1.5 -1.25
108 1071 3.5 1.5
109 1074 3 -0.25
110 1077 3 0
111 1080 3 0
112 1083 3 0
113 1086 3 0
114 1088 1.5 -1.25
115 1091 3.5 1.5
116 1094 3 -0.25
117 1097 3 0
118 1099 1.5 -1.25
119 1102 3.5 1.5
120 1104 1.5 -1.5
121 1107 3.5 1.5
122 1109 1.5 -1.5
123 1112 3.5 1.5
