Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 396 nan nan 0
1 394 nan nan 0
2 391 -3.5 -1 0
3 386 -6 -2.25 0
4 380 -6.5 -0.75 0
5 377 -1.5 4 0
6 379 4.5 5.5 0
7 386 9.5 5 0
8 400 17.5 7.5 0
9 501 144.5 107 0
10 538 5 -101.75 0
11 575 37 16 0
12 648 91 45 0
13 830 236.5 127.25 0
14 996 158 -47.25 0
15 1073 32.5 -107.25 0
16 1141 63.5 11 0
17 1201 56 -7.75 0
18 1256 52.5 -4.25 0
19 1305 46 -6.25 0
20 1350 43 -3.5 0
21 1391 39 -4 0
22 1428 35 -4 0
23 1460 29.5 -5.25 0
24 1489 27.5 -2.5 0
25 1515 24.5 -3 0
26 1540 24.5 -0.5 0
27 1564 23.5 -1 0
28 1586 21 -2.25 0
29 1607 20.5 -0.75 0
30 1627 19.5 -1 0
31 1646 18.5 -1 0
32 1665 19 0.25 0
33 1682 16 -2.5 0
34 1698 15.5 -0.75 0
35 1714 16 0.25 0
36 1731 17.5 1.25 0
37 1731 -8.5 -21.5 0
38 1748 25.5 25.5 0
39 1764 15.5 -5.5 0
40 1779 14.5 -1 0
41 1793 13.5 -1 0
42 1808 15.5 1.5 0
43 1822 13.5 -1.5 0
44 1836 14 0.25 0
45 1848 11 -2.5 0
46 1860 12 0.5 0
47 1872 12 0 0
48 1884 12 0 0
49 1896 12 0 0
50 1908 12 0 0
51 1920 12 0 0
52 1931 10.5 -1.25 0
53 1942 11 0.25 0
54 1953 11 0 0
55 1964 11 0 0
56 1974 9.5 -1.25 0
57 1984 10 0.25 0
58 1994 10 0 0
59 2005 11.5 1.25 0
60 2018 14 2.25 0
61 2032 14.5 0.75 0
62 2045 12.5 -1.5 0
63 2057 11.5 -1 0
64 2069 12 0.25 0
65 2080 10.5 -1.25 0
66 2091 11 0.25 0
67 2102 11 0 0
68 2113 11 0 0
69 2123 9.5 -1.25 0
70 2133 10 0.25 0
71 2144 11.5 1.25 0
72 2156 12.5 1 0
73 2168 12 -0.25 0
74 2181 13.5 1.25 0
75 2194 13 -0.25 0
76 2206 11.5 -1.25 0
77 2216 9 -2.25 0
78 2226 10 0.5 0
79 2236 10 0 0
80 2246 10 0 0
81 2256 10 0 0
82 2266 10 0 0
83 2276 10 0 0
84 2288 13 2.5 0
85 2299 10.5 -1.75 0
86 2310 11 0.25 0
87 2320 9.5 -1.25 0
88 2331 11.5 1.5 0
89 2342 11 -0.25 0
90 2353 11 0 0
91 2364 11 0 0
