Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 399 nan nan 0
1 399 nan nan 0
2 399 0 0 0
3 399 0 0 0
4 400 1.5 1.25 0
5 412 17.5 13.5 0
6 446 45 24.75 0
7 494 55 12 0
8 518 12 -33.5 0
9 538 18 1 0
10 558 20 1 0
11 577 18.5 -1.25 0
12 595 17.5 -1 0
13 670 103.5 71.5 0
14 762 100.5 7 0
15 850 86 -9.25 0
16 932 79 -6.5 0
17 1004 67 -11 0
18 1041 19.5 -41.25 0
19 1076 34 6.25 0
20 1076 -17.5 -43.25 0
21 1109 49.5 50 0
22 1140 30 -10.75 0
23 1169 28 -2 0
24 1195 24.5 -3.25 0
25 1218 21.5 -3 0
26 1240 21.5 -0.5 0
27 1261 20.5 -1 0
28 1281 19.5 -1 0
29 1300 18.5 -1 0
30 1319 19 0.25 0
31 1336 16 -2.5 0
32 1352 15.5 -0.75 0
33 1368 16 0.25 0
34 1383 14.5 -1.25 0
35 1397 13.5 -1 0
36 1411 14 0.25 0
37 1423 11 -2.5 0
38 1435 12 0.5 0
39 1445 9 -2.5 0
40 1455 10 0.5 0
41 1466 11.5 1.25 0
42 1477 11 -0.25 0
43 1488 11 0 0
44 1499 11 0 0
45 1508 8 -2.5 0
46 1517 9 0.5 0
47 1525 7.5 -1.25 0
48 1534 9.5 1.5 0
49 1542 7.5 -1.5 0
50 1551 9.5 1.5 0
51 1559 7.5 -1.5 0
52 1567 8 0.25 0
53 1575 8 0 0
54 1583 8 0 0
55 1590 6.5 -1.25 0
56 1597 7 0.25 0
57 1603 5.5 -1.25 0
58 1609 6 0.25 0
59 1615 6 0 0
60 1622 7.5 1.25 0
61 1628 5.5 -1.5 0
62 1635 7.5 1.5 0
63 1642 7 -0.25 0
64 1650 8.5 1.25 0
65 1656 5 -2.75 0
66 1663 7.5 1.75 0
67 1669 5.5 -1.5 0
68 1676 7.5 1.5 0
69 1681 4 -2.75 0
70 1687 6.5 1.75 0
71 1693 6 -0.25 0
72 1699 6 0 0
73 1705 6 0 0
74 1712 7.5 1.25 0
75 1718 5.5 -1.5 0
76 1724 6 0.25 0
77 1730 6 0 0
78 1737 7.5 1.25 0
79 1743 5.5 -1.5 0
80 1749 6 0.25 0
81 1755 6 0 0
82 1761 6 0 0
83 1766 4.5 -1.25 0
84 1770 3.5 -1 0
85 1772 1 -2.25 0
86 1774 2 0.5 0
87 1774 -1 -2.5 0
88 1775 1.5 1.75 0
89 1779 5.5 3.5 0
90 1786 8.5 3 0
91 1795 10 1.75 0
92 1802 6 -3 0
93 1807 4 -2 0
94 1811 3.5 -0.75 0
95 1818 8.5 4 0
96 1822 2.5 -4.5 0
97 1824 1 -1.75 0
98 1825 0.5 -0.75 0
99 1826 1 0.25 0
100 1827 1 0 0
101 1828 1 0 0
102 1832 5.5 3.75 0
103 1840 10 4.25 0
104 1849 9.5 0.25 0
105 1856 6 -2.75 0
106 1859 1 -4.5 0
107 1860 0 -1.5 0
108 1861 1 0.5 0
109 1861 -0.5 -1.25 0
110 1862 1.5 1.5 0
111 1863 1 -0.25 0
112 1865 2.5 1.25 0
113 1866 0.5 -1.5 0
114 1868 2.5 1.5 0
115 1869 0.5 -1.5 0
116 1871 2.5 1.5 0
117 1873 2 -0.25 0
118 1875 2 0 0
119 1877 2 0 0
120 1879 2 0 0
121 1881 2 0 0
122 1884 3.5 1.25 0
123 1886 1.5 -1.5 0
124 1888 2 0.25 0
125 1891 3.5 1.25 0
126 1893 1.5 -1.5 0
127 1896 3.5 1.5 0
128 1898 1.5 -1.5 0
129 1898 -1 -2.25 0
130 1901 4.5 4.25 0
131 1903 1.5 -2 0
132 1906 3.5 1.5 0
133 1908 1.5 -1.5 0
134 1911 3.5 1.5 0
135 1913 1.5 -1.5 0
136 1916 3.5 1.5 0
137 1918 1.5 -1.5 0
138 1921 3.5 1.5 0
139 1924 3 -0.25 0
140 1926 1.5 -1.25 0
141 1929 3.5 1.5 0
142 1932 3 -0.25 0
143 1935 3 0 0
144 1938 3 0 0
145 1941 3 0 0
146 1944 3 0 0
147 1947 3 0 0
148 1949 1.5 -1.25 0
149 1952 3.5 1.5 0
150 1955 3 -0.25 0
151 1958 3 0 0
152 1961 3 0 0
153 1964 3 0 0
154 1967 3 0 0
155 1969 1.5 -1.25 0
156 1972 3.5 1.5 0
157 1975 3 -0.25 0
158 1978 3 0 0
159 1981 3 0 0
160 1984 3 0 0
161 1988 4.5 1.25 0
162 1991 2.5 -1.5 0
163 1994 3 0.25 0
164 1997 3 0 0
165 2000 3 0 0
166 2004 4.5 1.25 0
167 2007 2.5 -1.5 0
168 2011 4.5 1.5 0
169 2015 4 -0.25 0
170 2019 4 0 0
171 2023 4 0 0
172 2027 4 0 0
173 2030 2.5 -1.25 0
174 2034 4.5 1.5 0
175 2038 4 -0.25 0
176 2041 2.5 -1.25 0
177 2045 4.5 1.5 0
178 2048 2.5 -1.5 0
179 2052 4.5 1.5 0
180 2056 4 -0.25 0
181 2059 2.5 -1.25 0
182 2063 4.5 1.5 0
183 2066 2.5 -1.5 0
184 2070 4.5 1.5 0
185 2074 4 -0.25 0
186 2077 2.5 -1.25 0
187 2081 4.5 1.5 0
188 2084 2.5 -1.5 0
189 2088 4.5 1.5 0
190 2092 4 -0.25 0
191 2096 4 0 0
192 2100 4 0 0
193 2105 5.5 1.25 0
194 2109 3.5 -1.5 0
195 2113 4 0.25 0
196 2117 4 0 0
197 2121 4 0 0
198 2124 2.5 -1.25 0
199 2128 4.5 1.5 0
200 2132 4 -0.25 0
201 2136 4 0 0
202 2140 4 0 0
203 2144 4 0 0
204 2148 4 0 0
205 2152 4 0 0
206 2156 4 0 0
207 2160 4 0 0
208 2164 4 0 0
209 2168 4 0 0
210 2172 4 0 0
211 2176 4 0 0
212 2180 4 0 0
213 2184 4 0 0
214 2188 4 0 0
215 2192 4 0 0
216 2196 4 0 0
217 2200 4 0 0
218 2204 4 0 0
219 2208 4 0 0
220 2213 5.5 1.25 0
221 2217 3.5 -1.5 0
222 2222 5.5 1.5 0
223 2226 3.5 -1.5 0
224 2231 5.5 1.5 0
225 2235 3.5 -1.5 0
226 2240 5.5 1.5 0
227 2244 3.5 -1.5 0
228 2249 5.5 1.5 0
229 2253 3.5 -1.5 0
230 2257 4 0.25 0
231 2261 4 0 0
232 2266 5.5 1.25 0
233 2270 3.5 -1.5 0
234 2274 4 0.25 0
235 2278 4 0 0
236 2283 5.5 1.25 0
237 2283 -2.5 -6.5 0
238 2287 6 6.25 0
239 2291 4 -1 0
240 2295 4 0 0
241 2300 5.5 1.25 0
242 2304 3.5 -1.5 0
243 2308 4 0.25 0
244 2313 5.5 1.25 0
245 2317 3.5 -1.5 0
246 2322 5.5 1.5 0
247 2327 5 -0.25 0
248 2332 5 0 0
249 2336 3.5 -1.25 0
250 2341 5.5 1.5 0
251 2346 5 -0.25 0
252 2351 5 0 0
253 2355 3.5 -1.25 0
254 2360 5.5 1.5 0
255 2365 5 -0.25 0
256 2370 5 0 0
257 2374 3.5 -1.25 0
258 2379 5.5 1.5 0
259 2384 5 -0.25 0
260 2388 3.5 -1.25 0
261 2393 5.5 1.5 0
262 2397 3.5 -1.5 0
263 2402 5.5 1.5 0
264 2406 3.5 -1.5 0
265 2411 5.5 1.5 0
266 2415 3.5 -1.5 0
267 2419 4 0.25 0
268 2424 5.5 1.25 0
269 2429 5 -0.25 0
270 2433 3.5 -1.25 0
271 2438 5.5 1.5 0
272 2442 3.5 -1.5 0
273 2447 5.5 1.5 0
274 2452 5 -0.25 0
275 2457 5 0 0
276 2462 5 0 0
277 2467 5 0 0
278 2472 5 0 0
279 2477 5 0 0
280 2482 5 0 0
281 2487 5 0 0
