Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 1134 nan nan 0
1 1190 nan nan 0
2 1242 50 -4 0
3 1290 46 -4 0
4 1334 42 -4 0
5 1374 38 -4 0
6 1409 32.5 -5.25 0
7 1441 30.5 -2.5 0
8 1471 29 -1.75 0
9 1498 25.5 -3.25 0
10 1524 25.5 -0.5 0
11 1549 24.5 -1 0
12 1571 20.5 -3.5 0
13 1592 20.5 -0.5 0
14 1611 18 -2.25 0
15 1629 17.5 -0.75 0
16 1645 15 -2.25 0
17 1661 16 0.5 0
18 1677 16 0 0
19 1692 14.5 -1.25 0
20 1707 15 0.25 0
21 1721 13.5 -1.25 0
22 1734 12.5 -1 0
23 1744 8.5 -3.5 0
24 1750 4 -4.25 0
25 1749 -4.5 -7.75 0
26 1730 -28 -20.75 0
