Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 398 nan nan 0
1 398 nan nan 0
2 398 0 0 0
3 398 0 0 0
4 406 12 10 0
5 458 74 53 0
6 517 62.5 -2.25 0
7 561 36.5 -20.5 0
8 652 114.5 62.5 0
9 938 383.5 232 0
10 1102 103 -201.25 0
11 1223 99.5 -23.25 0
12 1331 101.5 -5.5 0
13 1425 87 -14.25 0
14 1509 79 -9 0
15 1582 67.5 -11.25 0
16 1646 59.5 -8.5 0
17 1704 55 -5.25 0
18 1756 49 -6 0
19 1803 44.5 -4.75 0
20 1845 39.5 -5 0
21 1883 36 -3.75 0
22 1917 32 -4 0
23 1949 31 -1.5 0
24 1978 27.5 -3.25 0
25 2008 30.5 2 0
26 2039 31.5 1 0
27 2070 31 -0.25 0
28 2098 26.5 -3.75 0
29 2124 25 -1.75 0
30 2147 21.5 -3.25 0
31 2170 23 0.75 0
32 2194 24.5 1.25 0
33 2217 22.5 -1.5 0
34 2240 23 0.25 0
35 2260 18.5 -3.75 0
36 2277 15.5 -3 0
37 2292 14 -1.75 0
38 2307 15 0.5 0
39 2322 15 0 0
40 2337 15 0 0
41 2354 18 2.5 0
42 2371 17 -0.5 0
43 2387 15.5 -1.25 0
44 2402 14.5 -1 0
45 2416 13.5 -1 0
46 2429 12.5 -1 0
47 2442 13 0.25 0
48 2453 10 -2.5 0
49 2465 12.5 1.75 0
50 2477 12 -0.25 0
51 2489 12 0 0
52 2501 12 0 0
53 2513 12 0 0
54 2523 9 -2.5 0
55 2534 11.5 1.75 0
56 2544 9.5 -1.5 0
57 2554 10 0.25 0
58 2563 8.5 -1.25 0
59 2572 9 0.25 0
60 2580 7.5 -1.25 0
61 2589 9.5 1.5 0
62 2597 7.5 -1.5 0
63 2606 9.5 1.5 0
64 2615 9 -0.25 0
65 2625 10.5 1.25 0
66 2634 8.5 -1.5 0
67 2643 9 0.25 0
68 2652 9 0 0
69 2652 -4.5 -11.25 0
70 2660 12 12.25 0
71 2668 8 -2 0
72 2675 6.5 -1.25 0
73 2683 8.5 1.5 0
74 2691 8 -0.25 0
75 2700 9.5 1.25 0
76 2709 9 -0.25 0
77 2718 9 0 0
78 2725 6 -2.5 0
79 2731 5.5 -0.75 0
80 2734 1.5 -3.5 0
81 2738 4.5 2 0
82 2745 8.5 3.5 0
83 2756 13 4.25 0
84 2764 6.5 -4.75 0
85 2768 2 -4.25 0
86 2770 1 -1.5 0
87 2771 0.5 -0.75 0
88 2772 1 0.25 0
89 2773 1 0 0
90 2775 2.5 1.25 0
91 2777 2 -0.25 0
92 2784 9.5 6.25 0
93 2796 14.5 5 0
94 2814 21 6.25 0
95 2828 12 -6.5 0
96 2835 3.5 -7.75 0
97 2836 -2 -5.75 0
98 2837 1 1.5 0
99 2838 1 0 0
100 2839 1 0 0
101 2841 2.5 1.25 0
102 2843 2 -0.25 0
103 2846 3.5 1.25 0
104 2848 1.5 -1.5 0
105 2851 3.5 1.5 0
106 2854 3 -0.25 0
107 2857 3 0 0
108 2866 12 7.5 0
109 2882 19.5 7.25 0
110 2905 26.5 7 0
111 2922 14 -9.25 0
112 2931 5 -8.5 0
113 2933 -1.5 -6.75 0
114 2934 0.5 0.5 0
115 2935 1 0.25 0
116 2936 1 0 0
117 2938 2.5 1.25 0
118 2940 2 -0.25 0
119 2942 2 0 0
120 2944 2 0 0
121 2946 2 0 0
122 2948 2 0 0
123 2951 3.5 1.25 0
124 2954 3 -0.25 0
125 2957 3 0 0
126 2960 3 0 0
127 2970 13.5 8.75 0
128 2987 20.5 7 0
129 3012 29 8.25 0
130 3031 16 -9.5 0
131 3040 4 -11 0
132 3042 -1.5 -6.25 0
133 3043 0.5 0.5 0
134 3044 1 0.25 0
135 3046 2.5 1.25 0
136 3048 2 -0.25 0
137 3049 0.5 -1.25 0
138 3051 2.5 1.5 0
139 3053 2 -0.25 0
140 3055 2 0 0
141 3058 3.5 1.25 0
142 3060 1.5 -1.5 0
143 3063 3.5 1.5 0
144 3066 3 -0.25 0
145 3069 3 0 0
146 3072 3 0 0
147 3076 4.5 1.25 0
148 3079 2.5 -1.5 0
149 3082 3 0.25 0
150 3085 3 0 0
151 3089 4.5 1.25 0
152 3093 4 -0.25 0
153 3097 4 0 0
154 3101 4 0 0
155 3105 4 0 0
156 3118 17.5 11.25 0
157 3140 26.5 9 0
158 3170 34 7.75 0
159 3190 15 -14.5 0
160 3201 6.5 -8.75 0
161 3202 -4 -10.25 0
162 3203 1 2.5 0
163 3204 1 0 0
164 3205 1 0 0
165 3207 2.5 1.25 0
166 3209 2 -0.25 0
167 3211 2 0 0
168 3213 2 0 0
169 3221 11 7.5 0
170 3236 18.5 7.25 0
171 3255 21 3.25 0
172 3269 11.5 -7.25 0
173 3276 3.5 -7.5 0
174 3280 2.5 -2 0
175 3289 11.5 7 0
176 3301 13.5 2.5 0
177 3312 10.5 -2 0
178 3312 -5.5 -13.5 0
179 3318 9 10.25 0
180 3320 0 -6.5 0
181 3321 0.5 -0.25 0
182 3322 1 0.25 0
183 3324 2.5 1.25 0
184 3330 8 4.75 0
185 3341 13.5 5.25 0
186 3355 15.5 2.5 0
187 3365 8 -5.75 0
188 3370 2.5 -5.25 0
189 3374 3.5 0 0
190 3382 10 5.25 0
191 3394 14 4 0
192 3407 13.5 0.25 0
193 3418 10 -2.75 0
194 3425 5 -4.5 0
195 3431 5.5 -0.25 0
196 3434 1.5 -3.5 0
197 3435 0 -1.75 0
198 3436 1 0.5 0
199 3437 1 0 0
200 3443 8.5 6.25 0
201 3452 10.5 2.5 0
202 3467 18 6.75 0
203 3480 12 -4 0
204 3488 5.5 -5.75 0
205 3492 2 -3.75 0
206 3494 1 -1.5 0
207 3496 2 0.5 0
208 3498 2 0 0
209 3500 2 0 0
210 3502 2 0 0
211 3504 2 0 0
212 3506 2 0 0
213 3514 11 7.5 0
214 3529 18.5 7.25 0
215 3548 21 3.25 0
216 3562 11.5 -7.25 0
217 3569 3.5 -7.5 0
218 3571 -0.5 -4.5 0
219 3576 6.5 5 0
220 3586 12.5 5.5 0
221 3599 14.5 2.5 0
222 3610 10 -3.25 0
223 3620 9.5 -0.75 0
224 3630 10 0.25 0
225 3638 7 -2.5 0
226 3643 3.5 -3.25 0
227 3648 5 0.75 0
228 3655 8 2.5 0
229 3665 11.5 3.25 0
230 3672 5.5 -4.5 0
231 3679 7 0.75 0
232 3685 5.5 -1.25 0
233 3695 12 5.25 0
234 3702 5.5 -4.75 0
235 3706 2.5 -3 0
236 3710 4 0.75 0
237 3718 10 5 0
238 3730 14 4 0
239 3737 4.5 -7.25 0
240 3745 8.5 2.5 0
241 3752 6.5 -1.5 0
242 3764 14.5 6.5 0
243 3773 7.5 -5 0
244 3780 6 -1.75 0
245 3787 7 0.5 0
246 3797 11.5 3.75 0
247 3808 11.5 0.5 0
248 3818 9.5 -1.5 0
