Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 400 nan nan 0
1 400 nan nan 0
2 405 7.5 5 0
3 424 26 16.25 0
4 460 44.5 17.75 0
5 502 45 3.25 0
6 518 3 -34 0
7 532 13 4 0
8 544 11 -2 0
9 555 10.5 -0.75 0
10 565 9.5 -1 0
11 574 8.5 -1 0
12 582 7.5 -1 0
13 590 8 0.25 0
14 598 8 0 0
15 628 41 27.5 0
16 666 42 4.5 0
17 702 35 -4.5 0
18 734 30 -4.5 0
19 764 29 -1.5 0
20 792 27 -2 0
21 820 28 0.5 0
22 846 25 -2.5 0
23 872 26 0.5 0
24 894 20 -5 0
25 916 22 1 0
26 938 22 0 0
27 956 16 -5 0
28 976 21 3.5 0
29 994 17 -3 0
30 1006 9 -7 0
31 1016 9 -1 0
32 1024 7 -2 0
33 1033 9.5 1.75 0
34 1041 7.5 -1.5 0
35 1050 9.5 1.5 0
36 1057 6 -2.75 0
37 1065 8.5 1.75 0
38 1072 6.5 -1.5 0
39 1080 8.5 1.5 0
40 1086 5 -2.75 0
41 1092 6 0.5 0
42 1098 6 0 0
43 1104 6 0 0
44 1110 6 0 0
45 1117 7.5 1.25 0
46 1125 8.5 1 0
47 1131 5 -2.75 0
48 1138 7.5 1.75 0
49 1145 7 -0.25 0
50 1151 5.5 -1.25 0
51 1158 7.5 1.5 0
52 1165 7 -0.25 0
53 1171 5.5 -1.25 0
54 1178 7.5 1.5 0
55 1184 5.5 -1.5 0
56 1190 6 0.25 0
57 1196 6 0 0
58 1201 4.5 -1.25 0
59 1205 3.5 -1 0
60 1207 1 -2.25 0
61 1210 3.5 1.75 0
62 1215 6 2.25 0
63 1223 9.5 3.25 0
64 1230 6.5 -2 0
65 1238 8.5 1.5 0
66 1243 3.5 -4 0
67 1249 6.5 2 0
68 1255 6 -0.25 0
69 1261 6 0 0
70 1267 6 0 0
71 1273 6 0 0
72 1278 4.5 -1.25 0
73 1281 2 -2.25 0
74 1283 1.5 -0.75 0
75 1284 0.5 -1 0
76 1284 -0.5 -1 0
77 1285 1.5 1.5 0
78 1285 -0.5 -1.5 0
79 1289 6 5.25 0
80 1295 7 1.5 0
81 1305 12 4.5 0
82 1311 4 -6 0
83 1314 1.5 -2.75 0
84 1315 0 -1.75 0
85 1316 1 0.5 0
86 1317 1 0 0
87 1318 1 0 0
88 1319 1 0 0
89 1321 2.5 1.25 0
90 1323 2 -0.25 0
91 1329 8 5 0
92 1338 10.5 2.75 0
93 1352 16.5 5.5 0
94 1361 6.5 -7.5 0
95 1366 3 -3.75 0
96 1366 -2.5 -5.25 0
97 1367 1.5 2.5 0
98 1368 1 -0.25 0
99 1370 2.5 1.25 0
100 1371 0.5 -1.5 0
101 1375 5.5 4 540
102 1383 10 4.25 540.1
103 1394 12.5 2.75 540.2
104 1401 5 -5.75 540.3
105 1405 2.5 -2.75 540.4
106 1405 -2 -4.25 540.5
107 1406 1.5 2.25 540.6
108 1407 1 -0.25 540.7
109 1408 1 0 540.8
110 1410 2.5 1.25 540.9
111 1411 0.5 -1.5 541
112 1412 1 0.25 541.1
113 1414 2.5 1.25 541.2
114 1416 2 -0.25 541.3
115 1417 0.5 -1.25 541.4
116 1419 2.5 1.5 541.5
117 1421 2 -0.25 541.6
118 1423 2 0 541.7
119 1429 8 5 541.8
120 1441 15 6.5 541.9
121 1457 18 3.5 542
122 1469 10 -6 542.1
123 1475 3 -6.5 542.2
124 1477 0 -3.5 542.3
125 1477 -1 -1.5 542.4
126 1478 1.5 1.75 542.5
127 1479 1 -0.25 542.6
128 1480 1 0 542.7
129 1482 2.5 1.25 542.8
130 1483 0.5 -1.5 542.9
131 1484 1 0.25 543
132 1485 1 0 543.1
133 1487 2.5 1.25 543.2
134 1489 2 -0.25 543.3
135 1491 2 0 543.4
136 1493 2 0 543.5
137 1495 2 0 543.6
138 1497 2 0 543.7
139 1499 2 0 543.8
140 1501 2 0 543.9
141 1504 3.5 1.25 544
142 1506 1.5 -1.5 544.1
143 1509 3.5 1.5 544.2
144 1511 1.5 -1.5 544.3
145 1514 3.5 1.5 544.4
146 1517 3 -0.25 544.5
147 1520 3 0 544.6
148 1522 1.5 -1.25 544.7
149 1525 3.5 1.5 544.8
150 1528 3 -0.25 544.9
151 1531 3 0 545
152 1533 1.5 -1.25 545.1
153 1536 3.5 1.5 545.2
154 1539 3 -0.25 545.3
155 1542 3 0 545.4
156 1545 3 0 545.5
157 1548 3 0 545.6
