Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 379 nan nan 0
1 392 nan nan 0
2 390 -9.5 -15 0
3 390 1 6.25 0
4 390 0 -0.5 0
5 389 -1.5 -1.25 0
6 386 -4 -2.25 0
7 381 -6 -2 0
8 375 -6.5 -0.75 0
9 373 0 5.25 0
10 376 5.5 5.25 0
11 383 9 3.75 0
12 393 11.5 2.75 0
13 426 44.5 28 0
14 495 87 39.25 0
15 520 3 -64 0
16 540 17.5 4.75 0
17 557 15.5 -2.5 0
18 574 17 0.75 0
19 588 12.5 -3.75 0
20 610 26 10.75 0
21 682 97 60.5 0
22 750 66 -17.5 0
23 810 56 -9 0
24 864 51 -5.5 0
25 914 48 -3.5 0
26 962 47 -1.5 0
27 1003 37.5 -8.25 0
28 1024 11 -23.25 0
29 1043 18 2.5 0
30 1063 20.5 1.75 0
31 1082 18.5 -1.5 0
32 1101 19 0.25 0
33 1119 17.5 -1.25 0
34 1137 18 0.25 0
35 1153 15 -2.5 0
36 1169 16 0.5 0
37 1183 13 -2.5 0
38 1197 14 0.5 0
39 1210 12.5 -1.25 0
40 1224 14.5 1.5 0
41 1236 11 -2.75 0
42 1249 13.5 1.75 0
43 1261 11.5 -1.5 0
44 1272 10.5 -1 0
45 1284 12.5 1.5 0
46 1295 10.5 -1.5 0
47 1307 12.5 1.5 0
48 1318 10.5 -1.5 0
49 1330 12.5 1.5 0
50 1341 10.5 -1.5 0
51 1351 9.5 -1 0
52 1361 10 0.25 0
53 1361 -5 -12.5 0
54 1370 13.5 13.75 0
55 1378 7.5 -3.5 0
56 1386 8 0.25 0
57 1394 8 0 0
58 1402 8 0 0
59 1411 9.5 1.25 0
60 1419 7.5 -1.5 0
61 1428 9.5 1.5 0
62 1436 7.5 -1.5 0
63 1443 6.5 -1 0
64 1450 7 0.25 0
65 1457 7 0 0
66 1463 5.5 -1.25 0
67 1470 7.5 1.5 0
68 1477 7 -0.25 0
69 1485 8.5 1.25 0
70 1491 5 -2.75 0
71 1498 7.5 1.75 0
72 1504 5.5 -1.5 0
73 1509 4.5 -1 0
74 1513 3.5 -1 0
75 1517 4 0.25 0
76 1522 5.5 1.25 0
77 1530 9.5 3.5 0
78 1538 8 -0.75 0
79 1544 5 -2.5 0
80 1546 0 -4.5 0
81 1548 2 1 0
82 1548 -1 -2.5 0
83 1549 1.5 1.75 0
84 1550 1 -0.25 0
85 1552 2.5 1.25 0
86 1553 0.5 -1.5 0
87 1554 1 0.25 0
88 1560 8.5 6.25 0
89 1570 12 3.75 0
90 1584 16 4 0
91 1594 8 -6 0
92 1598 1 -6.5 0
93 1599 -0.5 -2.25 0
94 1600 1 0.75 0
95 1604 5.5 3.75 0
96 1612 10 4.25 0
97 1623 12.5 2.75 0
98 1633 9.5 -2 0
99 1639 4 -4.75 0
100 1641 0 -4 0
101 1642 0.5 -0.25 0
102 1642 -0.5 -1 0
103 1643 1.5 1.5 0
104 1647 5.5 3.5 0
105 1653 7 1.75 0
106 1663 12 4.5 0
107 1669 4 -6 0
108 1672 1.5 -2.75 0
109 1673 0 -1.75 0
110 1674 1 0.5 0
