Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 384 nan nan 0
1 384 nan nan 0
2 386 3 2 0
3 392 8 4.5 0
4 434 60 44 0
5 520 108 46 0
6 570 32 -56 0
7 734 221 151.5 0
8 1019 345.5 122.75 0
9 1159 67.5 -211.5 0
10 1286 120.5 20 0
11 1399 106 -14.25 0
12 1501 96.5 -10.25 0
13 1593 87 -9.75 0
14 1676 78.5 -8.75 0
15 1750 69.5 -9 0
16 1817 63.5 -6.5 0
17 1877 56.5 -7 0
18 1930 49.5 -7 0
19 1979 47 -3.25 0
20 2028 49 1 0
21 2077 49 0 0
22 2124 46 -2.5 0
23 2166 39.5 -5.75 0
24 2205 37.5 -2.5 0
25 2240 33 -4.25 0
26 2274 33.5 -0.25 0
27 2306 31 -2.25 0
28 2338 32 0.5 0
29 2369 30.5 -1.25 0
30 2399 29.5 -1 0
31 2426 25.5 -3.5 0
32 2450 22.5 -3 0
33 2473 22.5 -0.5 0
34 2495 21.5 -1 0
35 2516 20.5 -1 0
36 2537 21 0.25 0
37 2557 19.5 -1.25 0
38 2576 18.5 -1 0
39 2595 19 0.25 0
40 2614 19 0 0
41 2633 19 0 0
42 2652 19 0 0
43 2670 17.5 -1.25 0
44 2688 18 0.25 0
45 2705 16.5 -1.25 0
46 2722 17 0.25 0
47 2736 12.5 -3.75 0
48 2750 14 0.75 0
49 2764 14 0 0
50 2778 14 0 0
51 2792 14 0 0
52 2806 14 0 0
53 2819 12.5 -1.25 0
54 2831 11.5 -1 0
55 2842 10.5 -1 0
56 2853 11 0.25 0
57 2865 12.5 1.25 0
58 2878 13.5 1 0
59 2890 11.5 -1.5 0
60 2902 12 0.25 0
61 2913 10.5 -1.25 0
62 2924 11 0.25 0
63 2935 11 0 0
64 2946 11 0 0
65 2957 11 0 0
66 2957 -5.5 -13.75 0
67 2968 16.5 16.5 0
68 2978 9.5 -4 0
69 2989 11.5 1.5 0
70 2997 6.5 -4 0
71 3004 6.5 -0.5 0
72 3007 1 -4.75 0
73 3012 6 3.5 0
74 3021 11 4.5 0
75 3034 15 4 0
76 3046 11.5 -2.25 0
77 3058 12 0.25 0
78 3066 6 -5 0
79 3072 5 -1.5 0
80 3075 1.5 -3.25 0
81 3077 1.5 -0.5 0
82 3082 6.5 4 0
83 3091 11 4.25 0
84 3103 13.5 2.75 0
85 3114 10.5 -2 0
86 3122 6.5 -3.5 0
87 3128 5 -1.75 0
88 3136 9 3 0
89 3141 3.5 -4.25 0
90 3145 3.5 -0.5 0
91 3146 -0.5 -3.5 0
92 3147 1 0.75 0
93 3148 1 0 0
94 3150 2.5 1.25 0
95 3152 2 -0.25 0
96 3154 2 0 0
97 3156 2 0 0
98 3158 2 0 0
99 3167 12.5 8.75 0
100 3182 18 5.75 0
101 3203 24 6 0
102 3217 10.5 -10.25 0
103 3225 5 -5.75 0
104 3226 -2.5 -7.25 0
105 3228 2.5 3 0
106 3230 2 -0.25 0
107 3231 0.5 -1.25 0
108 3233 2.5 1.5 0
109 3235 2 -0.25 0
110 3237 2 0 0
111 3240 3.5 1.25 0
112 3242 1.5 -1.5 0
113 3245 3.5 1.5 0
114 3247 1.5 -1.5 0
115 3250 3.5 1.5 0
116 3253 3 -0.25 0
117 3256 3 0 0
118 3259 3 0 0
119 3262 3 0 0
120 3265 3 0 0
121 3269 4.5 1.25 0
122 3272 2.5 -1.5 0
123 3276 4.5 1.5 0
124 3280 4 -0.25 0
125 3284 4 0 0
126 3288 4 0 0
127 3291 2.5 -1.25 0
128 3295 4.5 1.5 0
129 3299 4 -0.25 0
130 3303 4 0 0
131 3307 4 0 0
132 3311 4 0 0
133 3315 4 0 0
134 3319 4 0 0
135 3323 4 0 0
136 3326 2.5 -1.25 0
137 3330 4.5 1.5 0
138 3334 4 -0.25 0
139 3337 2.5 -1.25 0
140 3341 4.5 1.5 0
141 3345 4 -0.25 0
142 3349 4 0 0
143 3354 5.5 1.25 0
144 3358 3.5 -1.5 0
145 3362 4 0.25 0
146 3366 4 0 0
147 3370 4 0 0
148 3374 4 0 0
