Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 441 nan nan 0
1 453 nan nan 0
2 461 6 -4 0
3 464 0.5 -5.25 0
4 468 4.5 2.5 0
5 475 8.5 3.5 0
6 487 14.5 5.5 0
7 501 15 1.25 0
8 507 2 -10.5 0
9 513 6 2 0
10 518 4.5 -1.25 0
11 524 6.5 1.5 0
12 529 4.5 -1.5 0
13 534 5 0.25 0
14 538 3.5 -1.25 0
15 542 4 0.25 0
16 545 2.5 -1.25 0
17 548 3 0.25 0
18 551 3 0 0
19 554 3 0 0
20 558 4.5 1.25 0
21 561 2.5 -1.5 0
22 564 3 0.25 0
23 567 3 0 0
24 569 1.5 -1.25 0
25 571 2 0.25 0
26 573 2 0 0
27 575 2 0 0
28 577 2 0 0
29 579 2 0 0
30 581 2 0 0
31 583 2 0 0
32 584 0.5 -1.25 0
33 586 2.5 1.5 0
34 587 0.5 -1.5 0
35 588 1 0.25 0
36 589 1 0 0
37 590 1 0 0
38 593 4 2.5 0
39 595 1.5 -1.75 0
40 596 0.5 -1 0
41 597 1 0.25 0
42 597 -0.5 -1.25 0
43 597 0 0.25 0
44 597 0 0 0
45 598 1.5 1.25 0
46 600 2.5 1 0
47 616 23 17.25 0
48 632 16 -3.5 0
49 646 13 -2.5 0
50 656 8 -4.5 0
51 666 10 1 0
52 676 10 0 0
53 686 10 0 0
54 696 10 0 0
55 706 10 0 0
56 714 7 -2.5 0
57 720 5 -2 0
58 730 12 5.5 0
59 742 13 1.5 0
60 758 18 4.5 0
61 772 13 -3.5 0
62 782 8 -4.5 0
63 788 4 -4 0
64 792 3 -1.5 0
65 798 7 3 0
66 806 9 2 0
67 822 20 9.5 0
68 836 13 -4.5 0
69 850 14 0.5 0
70 862 11 -2.5 0
71 874 12 0.5 0
72 884 9 -2.5 0
73 896 13 3 0
74 908 12 -0.5 0
75 920 12 0 0
76 932 12 0 0
77 944 12 0 0
78 956 12 0 0
79 970 15 2.5 0
80 982 11 -3 0
81 996 15 3 0
82 1005 6.5 -6.75 0
83 1012 6 -1.25 0
84 1020 8.5 1.75 0
85 1026 5 -2.75 0
86 1033 7.5 1.75 0
87 1040 7 -0.25 0
88 1048 8.5 1.25 0
89 1055 6.5 -1.5 0
90 1062 7 0.25 0
91 1069 7 0 0
92 1076 7 0 0
93 1083 7 0 0
94 1090 7 0 0
95 1098 8.5 1.25 0
96 1106 8 -0.25 0
97 1113 6.5 -1.25 0
98 1121 8.5 1.5 0
99 1127 5 -2.75 0
