Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 400 nan nan 0
1 400 nan nan 0
2 400 0 0 0
3 400 0 0 0
4 407 10.5 8.75 0
5 427 26.5 14.5 0
6 459 38 11.75 0
7 498 42.5 5.75 0
8 513 3 -31.75 0
9 527 13.5 4.75 0
10 539 11 -2.25 0
11 551 12 0.5 0
12 561 9 -2.5 0
13 571 10 0.5 0
14 580 8.5 -1.25 0
15 588 7.5 -1 0
16 595 6.5 -1 0
17 612 22 12.75 0
18 652 51.5 26.25 0
19 692 40 -5.75 0
20 728 34 -5 0
21 762 33 -1.5 0
22 794 31 -2 0
23 824 29 -2 0
24 852 27 -2 0
25 878 25 -2 0
26 902 23 -2 0
27 924 21 -2 0
28 946 22 0.5 0
29 968 22 0 0
30 990 22 0 0
31 1006 13 -7.5 0
32 1017 8.5 -4.75 0
33 1026 8 -1.25 0
34 1035 9 0.5 0
35 1043 7.5 -1.25 0
36 1051 8 0.25 0
37 1061 11 2.5 0
38 1071 10 -0.5 0
39 1080 8.5 -1.25 0
40 1090 10.5 1.5 0
41 1098 7 -2.75 0
42 1107 9.5 1.75 0
43 1115 7.5 -1.5 0
44 1122 6.5 -1 0
45 1130 8.5 1.5 0
46 1138 8 -0.25 0
47 1147 9.5 1.25 0
48 1156 9 -0.25 0
49 1165 9 0 0
50 1173 7.5 -1.25 0
51 1182 9.5 1.5 0
52 1190 7.5 -1.5 0
53 1198 8 0.25 0
54 1207 9.5 1.25 0
55 1217 10.5 1 0
56 1226 8.5 -1.5 0
57 1235 9 0.25 0
58 1235 -4.5 -11.25 0
59 1243 12 12.25 0
60 1251 8 -2 0
61 1258 6.5 -1.25 0
62 1265 7 0.25 0
63 1272 7 0 0
64 1279 7 0 0
65 1287 8.5 1.25 0
66 1297 11 2.25 0
67 1306 8.5 -1.75 0
68 1315 9 0.25 0
69 1324 9 0 0
70 1332 7.5 -1.25 0
71 1340 8 0.25 0
72 1348 8 0 0
73 1356 8 0 0
74 1365 9.5 1.25 0
75 1374 9 -0.25 0
76 1384 10.5 1.25 0
77 1392 7 -2.75 0
78 1401 9.5 1.75 0
79 1409 7.5 -1.5 0
80 1418 9.5 1.5 0
81 1425 6 -2.75 0
82 1433 8.5 1.75 0
83 1442 9.5 1 0
84 1451 9 -0.25 0
85 1460 9 0 0
86 1468 7.5 -1.25 0
87 1477 9.5 1.5 0
88 1486 9 -0.25 0
89 1495 9 0 0
90 1504 9 0 0
91 1514 10.5 1.25 0
92 1524 10 -0.25 0
93 1534 10 0 0
94 1544 10 0 0
95 1554 10 0 0
96 1564 10 0 0
97 1574 10 0 0
98 1584 10 0 0
99 1594 10 0 0
100 1604 10 0 0
101 1614 10 0 0
102 1625 11.5 1.25 0
103 1634 8 -2.75 0
104 1644 10.5 1.75 0
105 1653 8.5 -1.5 0
106 1662 9 0.25 0
107 1671 9 0 0
108 1680 9 0 0
109 1689 9 0 0
110 1699 10.5 1.25 0
111 1710 11.5 1 0
112 1721 11 -0.25 0
113 1733 12.5 1.25 0
114 1744 10.5 -1.5 0
115 1756 12.5 1.5 0
116 1767 10.5 -1.5 0
117 1777 9.5 -1 0
118 1788 11.5 1.5 0
119 1799 11 -0.25 0
120 1809 9.5 -1.25 0
121 1820 11.5 1.5 0
122 1830 9.5 -1.5 0
123 1841 11.5 1.5 0
124 1852 11 -0.25 0
125 1864 12.5 1.25 0
126 1875 10.5 -1.5 0
127 1886 11 0.25 0
128 1895 8 -2.5 0
129 1905 10.5 1.75 0
130 1915 10 -0.25 0
131 1925 10 0 0
132 1935 10 0 0
133 1946 11.5 1.25 0
134 1957 11 -0.25 0
135 1968 11 0 0
136 1979 11 0 0
137 1990 11 0 0
138 2002 12.5 1.25 0
139 2014 12 -0.25 0
140 2025 10.5 -1.25 0
141 2037 12.5 1.5 0
142 2048 10.5 -1.5 0
143 2059 11 0.25 0
144 2071 12.5 1.25 0
145 2081 9 -2.75 0
146 2092 11.5 1.75 0
147 2103 11 -0.25 0
148 2114 11 0 0
149 2125 11 0 0
150 2138 14 2.5 0
151 2150 11.5 -1.75 0
152 2162 12 0.25 0
153 2173 10.5 -1.25 0
154 2183 9.5 -1 0
155 2193 10 0.25 0
156 2204 11.5 1.25 0
157 2216 12.5 1 0
158 2227 10.5 -1.5 0
159 2238 11 0.25 0
160 2248 9.5 -1.25 0
161 2258 10 0.25 0
162 2267 8.5 -1.25 0
163 2277 10.5 1.5 0
