Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 534 nan nan 0
1 547 nan nan 0
2 559 11.5 -1 0
3 570 10.5 -1 0
4 581 11 0.25 0
5 590 8 -2.5 0
6 599 9 0.5 0
7 638 54 37.5 0
8 680 43.5 -3.75 0
9 720 39 -3.25 0
10 756 34 -4.5 0
11 788 30 -4 0
12 820 32 1 0
13 848 26 -5 0
14 876 28 1 0
15 902 25 -2.5 0
16 926 23 -2 0
17 950 24 0.5 0
18 974 24 0 0
19 996 21 -2.5 0
20 1009 8.5 -10.75 0
21 1020 10 -0.25 0
22 1031 11 0.5 0
23 1041 9.5 -1.25 0
24 1052 11.5 1.5 0
25 1062 9.5 -1.5 0
26 1071 8.5 -1 0
27 1080 9 0.25 0
28 1089 9 0 0
29 1097 7.5 -1.25 0
30 1106 9.5 1.5 0
31 1114 7.5 -1.5 0
32 1123 9.5 1.5 0
33 1131 7.5 -1.5 0
34 1139 8 0.25 0
35 1147 8 0 0
36 1155 8 0 0
37 1163 8 0 0
38 1170 6.5 -1.25 0
39 1177 7 0.25 0
40 1184 7 0 0
41 1190 5.5 -1.25 0
42 1196 6 0.25 0
43 1202 6 0 0
44 1209 7.5 1.25 0
45 1216 7 -0.25 0
46 1223 7 0 0
47 1230 7 0 0
48 1236 5.5 -1.25 0
49 1243 7.5 1.5 0
50 1250 7 -0.25 0
51 1256 5.5 -1.25 0
52 1263 7.5 1.5 0
53 1269 5.5 -1.5 0
54 1276 7.5 1.5 0
55 1282 5.5 -1.5 0
56 1288 6 0.25 0
57 1294 6 0 0
58 1300 6 0 0
59 1306 6 0 0
60 1312 6 0 0
61 1319 7.5 1.25 0
62 1326 7 -0.25 0
63 1334 8.5 1.25 0
64 1340 5 -2.75 0
65 1347 7.5 1.75 0
66 1354 7 -0.25 0
67 1361 7 0 0
68 1368 7 0 0
69 1374 5.5 -1.25 0
70 1381 7.5 1.5 0
71 1387 5.5 -1.5 0
72 1394 7.5 1.5 0
73 1400 5.5 -1.5 0
74 1406 6 0.25 0
75 1412 6 0 0
76 1419 7.5 1.25 0
77 1427 8.5 1 0
78 1435 8 -0.25 0
79 1443 8 0 0
80 1451 8 0 0
81 1458 6.5 -1.25 0
82 1466 8.5 1.5 0
83 1473 6.5 -1.5 0
84 1481 8.5 1.5 0
85 1487 5 -2.75 0
86 1494 7.5 1.75 0
87 1500 5.5 -1.5 0
88 1506 6 0.25 0
89 1513 7.5 1.25 0
90 1520 7 -0.25 0
91 1527 7 0 0
92 1535 8.5 1.25 0
93 1542 6.5 -1.5 0
94 1550 8.5 1.5 0
95 1558 8 -0.25 0
96 1566 8 0 0
97 1575 9.5 1.25 0
98 1582 6 -2.75 0
99 1589 7 0.5 0
100 1596 7 0 0
101 1603 7 0 0
102 1611 8.5 1.25 0
103 1618 6.5 -1.5 0
104 1626 8.5 1.5 0
105 1633 6.5 -1.5 0
106 1640 7 0.25 0
107 1648 8.5 1.25 0
108 1656 8 -0.25 0
109 1663 6.5 -1.25 0
110 1663 -3.5 -8.5 0
111 1670 10.5 10.5 0
112 1676 5.5 -3 0
113 1682 6 0.25 0
114 1689 7.5 1.25 0
115 1697 8.5 1 0
116 1705 8 -0.25 0
117 1713 8 0 0
118 1721 8 0 0
119 1728 6.5 -1.25 0
120 1735 7 0.25 0
121 1742 7 0 0
122 1749 7 0 0
123 1756 7 0 0
124 1762 5.5 -1.25 0
125 1768 6 0.25 0
126 1774 6 0 0
127 1780 6 0 0
128 1787 7.5 1.25 0
129 1794 7 -0.25 0
130 1801 7 0 0
131 1808 7 0 0
132 1814 5.5 -1.25 0
133 1821 7.5 1.5 0
134 1828 7 -0.25 0
135 1835 7 0 0
136 1841 5.5 -1.25 0
137 1847 6 0.25 0
138 1853 6 0 0
139 1858 4.5 -1.25 0
140 1864 6.5 1.5 0
141 1869 4.5 -1.5 0
142 1873 3.5 -1 0
143 1877 4 0.25 0
144 1882 5.5 1.25 0
145 1890 9.5 3.5 0
146 1898 8 -0.75 0
147 1905 6.5 -1.25 0
148 1910 4 -2.25 0
149 1912 0.5 -3.25 0
150 1914 2 0.75 0
151 1915 0.5 -1.25 0
152 1916 1 0.25 0
153 1917 1 0 0
154 1918 1 0 0
155 1923 7 5 0
156 1933 12.5 5.25 0
157 1947 16 3.75 0
158 1957 8 -6 0
159 1964 5.5 -2.75 0
160 1969 4 -1.75 0
161 1976 8 3 0
162 1984 8.5 0.75 0
163 1991 6.5 -1.5 0
164 1998 7 0.25 0
165 2005 7 0 0
166 2011 5.5 -1.25 0
167 2015 3 -2.25 0
168 2018 2.5 -0.75 0
169 2020 1.5 -1 0
170 2021 0.5 -1 0
171 2022 1 0.25 0
172 2026 5.5 3.75 0
173 2034 10 4.25 0
174 2045 12.5 2.75 0
175 2053 6.5 -4.5 0
176 2058 3.5 -3 0
177 2059 -1 -4.25 0
178 2061 2.5 2.25 0
179 2062 0.5 -1.5 0
180 2064 2.5 1.5 0
181 2070 8 4.75 0
182 2082 15 6.5 0
183 2099 19.5 4.75 0
184 2112 11 -6.25 0
185 2121 7 -4 0
186 2124 0 -6.5 0
187 2125 0 -1 0
188 2126 1 0.5 0
189 2127 1 0 0
190 2128 1 0 0
191 2130 2.5 1.25 0
192 2132 2 -0.25 0
193 2134 2 0 0
194 2141 9.5 6.25 0
195 2154 16 6.25 0
196 2173 22 6 0
197 2188 13 -6.5 0
198 2198 7.5 -5.25 0
199 2201 -0.5 -7.5 0
200 2203 1.5 0.5 0
201 2204 0.5 -1 0
202 2205 1 0.25 0
203 2206 1 0 0
204 2208 2.5 1.25 0
205 2210 2 -0.25 0
206 2212 2 0 0
207 2214 2 0 0
208 2216 2 0 0
209 2219 3.5 1.25 0
210 2222 3 -0.25 0
211 2225 3 0 0
