Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 399 nan nan 0
1 413 nan nan 0
2 434 24.5 7 0
3 453 18 -4.25 0
4 471 17.5 -0.75 0
5 487 15 -2.25 0
6 501 13 -2 0
7 506 0.5 -10.75 0
8 510 3.5 1 0
9 515 5.5 1.5 0
10 519 3.5 -1.5 0
11 523 4 0.25 0
12 526 2.5 -1.25 0
13 530 4.5 1.5 0
14 533 2.5 -1.5 0
15 536 3 0.25 0
16 539 3 0 0
17 542 3 0 0
18 545 3 0 0
19 549 4.5 1.25 0
20 553 4 -0.25 0
21 557 4 0 0
22 561 4 0 0
23 565 4 0 0
24 569 4 0 0
25 572 2.5 -1.25 0
26 576 4.5 1.5 0
27 579 2.5 -1.5 0
28 582 3 0.25 0
29 585 3 0 0
30 588 3 0 0
31 591 3 0 0
32 594 3 0 0
33 597 3 0 0
34 600 3 0 0
35 612 16.5 11.25 0
36 628 18 2.75 0
37 646 19 1.5 0
38 664 18 -0.5 0
39 682 18 0 0
40 700 18 0 0
41 716 15 -2.5 0
42 732 16 0.5 0
43 750 19 2.5 0
44 768 18 -0.5 0
45 786 18 0 0
46 804 18 0 0
47 820 15 -2.5 0
48 838 19 3 0
49 854 15 -3 0
50 870 16 0.5 0
51 888 19 2.5 0
52 904 15 -3 0
53 920 16 0.5 0
54 934 13 -2.5 0
55 950 17 3 0
56 964 13 -3 0
57 978 14 0.5 0
58 992 14 0 0
59 1005 12.5 -1.25 0
60 1013 5.5 -6 0
61 1021 8 1.25 0
62 1028 6.5 -1.25 0
63 1035 7 0.25 0
64 1042 7 0 0
65 1050 8.5 1.25 0
66 1059 9.5 1 0
67 1066 6 -2.75 0
68 1066 -3.5 -8.25 0
69 1073 10.5 10.5 0
70 1079 5.5 -3 0
71 1086 7.5 1.5 0
72 1093 7 -0.25 0
73 1101 8.5 1.25 0
74 1107 5 -2.75 0
75 1114 7.5 1.75 0
76 1120 5.5 -1.5 0
77 1126 6 0.25 0
78 1132 6 0 0
79 1139 7.5 1.25 0
80 1146 7 -0.25 0
81 1153 7 0 0
82 1159 5.5 -1.25 0
83 1165 6 0.25 0
84 1172 7.5 1.25 0
85 1178 5.5 -1.5 0
86 1185 7.5 1.5 0
87 1191 5.5 -1.5 0
88 1197 6 0.25 0
89 1201 3 -2.5 0
90 1205 4 0.5 0
91 1210 5.5 1.25 0
92 1217 8 2.25 0
93 1225 8.5 0.75 0
94 1231 5 -2.75 0
95 1235 3 -2 0
96 1240 5.5 1.75 0
97 1247 8 2.25 0
98 1255 8.5 0.75 0
99 1262 6.5 -1.5 0
100 1268 5.5 -1 0
101 1271 1.5 -3.5 0
102 1275 4.5 2 0
103 1279 4 -0.25 0
104 1285 7 2.5 0
105 1291 6 -0.5 0
106 1294 1.5 -3.75 0
107 1295 0 -1.75 0
108 1298 4 3 0
109 1305 9 4.5 0
110 1315 11.5 2.75 0
111 1324 8.5 -2 0
112 1331 6 -2.25 0
113 1335 2.5 -3.25 0
114 1337 1 -1.75 0
115 1338 0.5 -0.75 0
116 1339 1 0.25 0
117 1340 1 0 0
118 1342 2.5 1.25 0
119 1346 5 2.25 0
120 1354 10 4.5 0
121 1366 14 4 0
122 1376 9 -3.5 0
123 1384 7 -2 0
124 1390 5 -2 0
125 1395 4.5 -0.75 0
126 1401 6.5 1.5 0
127 1406 4.5 -1.5 0
128 1409 2 -2.25 0
129 1411 1.5 -0.75 0
130 1415 5 2.75 0
131 1420 5.5 0.75 0
132 1428 9.5 3.5 0
133 1434 5 -3.25 0
134 1437 1.5 -3.25 0
135 1439 1.5 -0.5 0
136 1440 0.5 -1 0
137 1441 1 0.25 0
138 1442 1 0 0
139 1444 2.5 1.25 0
140 1445 0.5 -1.5 0
141 1447 2.5 1.5 0
142 1449 2 -0.25 0
143 1451 2 0 0
144 1458 9.5 6.25 0
145 1469 13 3.75 0
146 1485 18.5 5.25 0
147 1495 7 -8.75 0
148 1500 2.5 -4.75 0
149 1501 -1 -3.75 0
150 1502 1 1 0
151 1503 1 0 0
152 1504 1 0 0
153 1505 1 0 0
154 1510 7 5 0
155 1520 12.5 5.25 0
156 1534 16 3.75 0
157 1545 9.5 -4.75 0
158 1551 3.5 -5.5 0
159 1552 -1.5 -5 0
160 1553 1 1.25 0
161 1554 1 0 0
162 1555 1 0 0
163 1556 1 0 0
164 1557 1 0 0
165 1562 7 5 0
166 1571 11 4 0
167 1583 13.5 2.75 0
168 1591 6 -5.75 0
169 1596 3.5 -2.75 0
170 1597 -1 -4.25 0
171 1598 1 1 0
172 1602 5.5 3.75 0
173 1609 8.5 3 0
174 1619 11.5 3 0
175 1625 4 -5.75 0
176 1625 -3 -6.5 0
177 1629 6 6.5 0
178 1630 -0.5 -4.75 0
179 1633 4 3.25 0
180 1640 9 4.5 0
181 1650 11.5 2.75 0
182 1657 5.5 -4.5 0
183 1661 2.5 -3 0
184 1663 1 -1.75 0
185 1666 3.5 1.75 0
186 1672 7.5 3.5 0
187 1681 10.5 3 0
188 1688 6 -3.25 0
189 1692 2.5 -3.25 0
190 1693 -0.5 -3 0
191 1696 4 3.25 0
192 1701 6 2 0
193 1710 11 4.5 0
194 1718 7.5 -2.25 0
195 1725 6.5 -1 0
196 1731 5.5 -1 0
197 1736 4.5 -1 0
198 1741 5 0.25 0
199 1745 3.5 -1.25 0
200 1747 1 -2.25 0
201 1749 2 0.5 0
202 1750 0.5 -1.25 0
203 1751 1 0.25 0
204 1752 1 0 0
205 1756 5.5 3.75 0
206 1765 11.5 5.5 0
207 1778 15 3.75 0
208 1787 7 -6 0
209 1792 3 -4 0
210 1794 0.5 -2.75 0
211 1796 2 0.75 0
212 1801 6.5 3.75 0
213 1807 6.5 0.5 0
214 1814 7.5 1 0
215 1820 5.5 -1.5 0
216 1827 7.5 1.5 0
217 1832 4 -2.75 0
218 1835 2 -2 0
219 1836 0 -2 0
220 1837 1 0.5 0
221 1841 5.5 3.75 0
222 1848 8.5 3 0
223 1858 11.5 3 0
224 1866 7 -3.25 0
