Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 400 nan nan 0
1 400 nan nan 0
2 400 0 0 0
3 400 0 0 0
4 400 0 0 0
5 400 0 0 0
6 406 9 7.5 0
7 422 21 11 0
8 443 23.5 3.75 0
9 466 24 1.25 0
10 489 23 -0.5 0
11 504 11 -10 0
12 511 3 -8 0
13 518 7 2 0
14 524 5.5 -1.25 0
15 530 6 0.25 0
16 534 3 -2.5 0
17 539 5.5 1.75 0
18 543 3.5 -1.5 0
19 547 4 0.25 0
20 551 4 0 0
21 554 2.5 -1.25 0
22 558 4.5 1.5 0
23 561 2.5 -1.5 0
24 564 3 0.25 0
25 567 3 0 0
26 570 3 0 0
27 572 1.5 -1.25 0
28 574 2 0.25 0
29 577 3.5 1.25 0
30 579 1.5 -1.5 0
31 581 2 0.25 0
32 584 3.5 1.25 0
33 586 1.5 -1.5 0
34 587 0.5 -1 0
35 588 1 0.25 0
36 590 2.5 1.25 0
37 592 2 -0.25 0
38 594 2 0 0
39 596 2 0 0
40 598 2 0 0
41 600 2 0 0
42 606 8 5 0
43 616 12 4 0
44 626 10 -1 0
45 638 13 2.5 0
46 650 12 -0.5 0
47 662 12 0 0
48 676 15 2.5 0
49 688 11 -3 0
50 702 15 3 0
51 702 -7 -18 0
52 714 18 18.5 0
53 728 15 -0.5 0
54 738 8 -5.5 0
55 748 10 1 0
56 758 10 0 0
57 768 10 0 0
58 778 10 0 0
59 788 10 0 0
60 800 13 2.5 0
61 812 12 -0.5 0
62 826 15 2.5 0
63 840 14 -0.5 0
64 854 14 0 0
65 866 11 -2.5 0
66 880 15 3 0
67 892 11 -3 0
68 904 12 0.5 0
69 916 12 0 0
70 930 15 2.5 0
71 942 11 -3 0
72 954 12 0.5 0
73 966 12 0 0
74 978 12 0 0
75 992 15 2.5 0
76 1004 11 -3 0
77 1012 6 -4.5 0
78 1020 8 1 0
79 1028 8 0 0
80 1037 9.5 1.25 0
81 1045 7.5 -1.5 0
82 1053 8 0.25 0
83 1061 8 0 0
84 1069 8 0 0
85 1077 8 0 0
86 1085 8 0 0
87 1093 8 0 0
88 1100 6.5 -1.25 0
89 1108 8.5 1.5 0
90 1117 9.5 1 0
91 1125 7.5 -1.5 0
92 1134 9.5 1.5 0
93 1142 7.5 -1.5 0
94 1151 9.5 1.5 0
95 1160 9 -0.25 0
96 1169 9 0 0
97 1179 10.5 1.25 0
98 1188 8.5 -1.5 0
99 1197 9 0.25 0
100 1207 10.5 1.25 0
101 1217 10 -0.25 0
102 1226 8.5 -1.25 0
103 1236 10.5 1.5 0
104 1246 10 -0.25 0
105 1257 11.5 1.25 0
106 1268 11 -0.25 0
107 1278 9.5 -1.25 0
108 1288 10 0.25 0
109 1297 8.5 -1.25 0
110 1307 10.5 1.5 0
111 1317 10 -0.25 0
112 1327 10 0 0
113 1337 10 0 0
114 1347 10 0 0
115 1358 11.5 1.25 0
116 1368 9.5 -1.5 0
117 1379 11.5 1.5 0
118 1389 9.5 -1.5 0
119 1398 8.5 -1 0
120 1408 10.5 1.5 0
121 1418 10 -0.25 0
122 1428 10 0 0
123 1438 10 0 0
124 1449 11.5 1.25 0
125 1460 11 -0.25 0
126 1470 9.5 -1.25 0
127 1480 10 0.25 0
128 1489 8.5 -1.25 0
129 1499 10.5 1.5 0
130 1509 10 -0.25 0
131 1519 10 0 0
132 1529 10 0 0
133 1539 10 0 0
134 1550 11.5 1.25 0
135 1560 9.5 -1.5 0
136 1571 11.5 1.5 0
137 1580 8 -2.75 0
138 1589 9 0.5 0
139 1598 9 0 0
140 1607 9 0 0
141 1616 9 0 0
142 1626 10.5 1.25 0
143 1636 10 -0.25 0
144 1646 10 0 0
145 1655 8.5 -1.25 0
146 1664 9 0.25 0
147 1672 7.5 -1.25 0
148 1681 9.5 1.5 0
149 1690 9 -0.25 0
150 1699 9 0 0
151 1708 9 0 0
152 1716 7.5 -1.25 0
153 1725 9.5 1.5 0
154 1733 7.5 -1.5 0
155 1742 9.5 1.5 0
156 1750 7.5 -1.5 0
157 1758 8 0.25 0
158 1767 9.5 1.25 0
159 1775 7.5 -1.5 0
160 1784 9.5 1.5 0
161 1792 7.5 -1.5 0
162 1801 9.5 1.5 0
163 1811 10.5 1 0
164 1819 7 -2.75 0
165 1827 8 0.5 0
166 1835 8 0 0
167 1841 5 -2.5 0
168 1848 7.5 1.75 0
169 1854 5.5 -1.5 0
170 1861 7.5 1.5 0
171 1861 -3.5 -9 0
