Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 400 nan nan 0
1 400 nan nan 0
2 400 0 0 0
3 400 0 0 0
4 400 0 0 0
5 400 0 0 0
6 404 6 5 0
7 415 14.5 7.75 0
8 433 21.5 7 0
9 454 22.5 2 0
10 476 22.5 0.5 0
11 498 22 -0.25 0
12 506 1 -17.5 0
13 513 6.5 2.25 0
14 519 5.5 -1 0
15 524 4.5 -1 0
16 529 5 0.25 0
17 534 5 0 0
18 538 3.5 -1.25 0
19 542 4 0.25 0
20 545 2.5 -1.25 0
21 548 3 0.25 0
22 552 4.5 1.25 0
23 555 2.5 -1.5 0
24 558 3 0.25 0
25 560 1.5 -1.25 0
26 563 3.5 1.5 0
27 565 1.5 -1.5 0
28 567 2 0.25 0
29 569 2 0 0
30 571 2 0 0
31 573 2 0 0
32 576 3.5 1.25 0
33 579 3 -0.25 0
34 581 1.5 -1.25 0
35 584 3.5 1.5 0
36 587 3 -0.25 0
37 589 1.5 -1.25 0
38 591 2 0.25 0
39 593 2 0 0
40 595 2 0 0
41 597 2 0 0
42 599 2 0 0
43 606 9.5 6.25 0
44 620 17.5 7.5 0
45 634 14 -1.75 0
46 648 14 0 0
47 664 17 2.5 0
48 678 13 -3 0
49 692 14 0.5 0
50 704 11 -2.5 0
51 718 15 3 0
52 730 11 -3 0
53 744 15 3 0
54 758 14 -0.5 0
55 774 17 2.5 0
56 790 16 -0.5 0
57 804 13 -2.5 0
58 818 14 0.5 0
59 832 14 0 0
60 844 11 -2.5 0
61 858 15 3 0
62 874 17 2 0
63 890 16 -0.5 0
64 904 13 -2.5 0
65 920 17 3 0
66 920 -8 -20.5 0
67 934 21 21.5 0
68 948 14 -3.5 0
69 964 17 2.5 0
70 980 16 -0.5 0
71 996 16 0 0
72 1005 5.5 -8.75 0
73 1013 7.5 0.5 0
74 1021 8 0.25 0
75 1029 8 0 0
76 1038 9.5 1.25 0
77 1046 7.5 -1.5 0
78 1054 8 0.25 0
79 1062 8 0 0
80 1071 9.5 1.25 0
81 1080 9 -0.25 0
82 1089 9 0 0
83 1097 7.5 -1.25 0
84 1105 8 0.25 0
85 1113 8 0 0
86 1121 8 0 0
87 1130 9.5 1.25 0
88 1138 7.5 -1.5 0
89 1146 8 0.25 0
90 1154 8 0 0
91 1161 6.5 -1.25 0
92 1168 7 0.25 0
93 1176 8.5 1.25 0
94 1185 9.5 1 0
95 1194 9 -0.25 0
96 1202 7.5 -1.25 0
97 1210 8 0.25 0
98 1219 9.5 1.25 0
99 1226 6 -2.75 0
100 1234 8.5 1.75 0
101 1242 8 -0.25 0
102 1250 8 0 0
103 1258 8 0 0
104 1266 8 0 0
105 1273 6.5 -1.25 0
106 1281 8.5 1.5 0
107 1289 8 -0.25 0
108 1297 8 0 0
109 1305 8 0 0
110 1313 8 0 0
111 1320 6.5 -1.25 0
112 1327 7 0.25 0
113 1334 7 0 0
114 1342 8.5 1.25 0
115 1350 8 -0.25 0
116 1357 6.5 -1.25 0
117 1364 7 0.25 0
118 1370 5.5 -1.25 0
119 1377 7.5 1.5 0
120 1385 8.5 1 0
121 1392 6.5 -1.5 0
122 1400 8.5 1.5 0
123 1407 6.5 -1.5 0
124 1415 8.5 1.5 0
125 1422 6.5 -1.5 0
126 1429 7 0.25 0
127 1435 5.5 -1.25 0
128 1442 7.5 1.5 0
129 1448 5.5 -1.5 0
130 1455 7.5 1.5 0
131 1461 5.5 -1.5 0
132 1467 6 0.25 0
133 1473 6 0 0
134 1480 7.5 1.25 0
135 1486 5.5 -1.5 0
136 1491 4.5 -1 0
137 1495 3.5 -1 0
138 1500 5.5 1.5 0
139 1508 9.5 3.5 0
140 1516 8 -0.75 0
141 1524 8 0 0
142 1530 5 -2.5 0
143 1535 4.5 -0.75 0
144 1541 6.5 1.5 0
145 1547 6 -0.25 0
146 1553 6 0 0
147 1559 6 0 0
148 1565 6 0 0
149 1572 7.5 1.25 0
150 1578 5.5 -1.5 0
151 1585 7.5 1.5 0
152 1591 5.5 -1.5 0
153 1598 7.5 1.5 0
154 1605 7 -0.25 0
155 1611 5.5 -1.25 0
156 1615 3 -2.25 0
157 1617 1 -2 0
158 1619 2 0.5 0
159 1622 3.5 1.25 0
160 1628 7.5 3.5 0
161 1637 10.5 3 0
162 1647 10.5 0.5 0
163 1656 8.5 -1.5 0
164 1662 4.5 -3.5 0
165 1669 7.5 2 0
166 1675 5.5 -1.5 0
167 1680 4.5 -1 0
