Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 374 nan nan 0
1 374 nan nan 0
2 374 0 0 0
3 377 4.5 3.75 0
4 382 6 1.75 0
5 392 12.5 5.75 0
6 428 49 31.25 0
7 507 100.5 47.25 0
8 540 10 -68.25 0
9 572 31.5 10.25 0
10 612 44 10.25 0
11 776 226 153 0
12 922 137 -53.5 0
13 1027 84.5 -46.75 0
14 1086 36 -47.25 0
15 1139 50 4 0
16 1186 44 -6 0
17 1229 41 -3.5 0
18 1268 37 -4 0
19 1304 34.5 -2.75 0
20 1336 30 -4.25 0
21 1366 29 -1.5 0
22 1394 27 -2 0
23 1419 23.5 -3.25 0
24 1442 22 -1.75 0
25 1464 21.5 -0.75 0
26 1485 20.5 -1 0
27 1504 18 -2.25 0
28 1522 17.5 -0.75 0
29 1539 16.5 -1 0
30 1555 15.5 -1 0
31 1570 14.5 -1 0
32 1585 15 0.25 0
33 1600 15 0 0
34 1614 13.5 -1.25 0
35 1627 12.5 -1 0
36 1627 -6.5 -16 0
37 1641 21 20.75 0
38 1653 11 -6 0
39 1666 13.5 1.75 0
40 1678 11.5 -1.5 0
41 1690 12 0.25 0
42 1701 10.5 -1.25 0
43 1713 12.5 1.5 0
44 1723 9 -2.75 0
45 1734 11.5 1.75 0
46 1744 9.5 -1.5 0
47 1755 11.5 1.5 0
48 1765 9.5 -1.5 0
49 1775 10 0.25 0
50 1785 10 0 0
51 1794 8.5 -1.25 0
52 1802 7.5 -1 0
53 1810 8 0.25 0
54 1818 8 0 0
55 1827 9.5 1.25 0
56 1835 7.5 -1.5 0
57 1844 9.5 1.5 0
58 1851 6 -2.75 0
59 1858 7 0.5 0
60 1865 7 0 0
61 1872 7 0 0
62 1880 8.5 1.25 0
63 1888 8 -0.25 0
64 1895 6.5 -1.25 0
65 1903 8.5 1.5 0
66 1910 6.5 -1.5 0
67 1918 8.5 1.5 0
68 1926 8 -0.25 0
69 1935 9.5 1.25 0
70 1943 7.5 -1.5 0
71 1951 8 0.25 0
72 1957 5 -2.5 0
73 1963 6 0.5 0
74 1969 6 0 0
75 1975 6 0 0
76 1981 6 0 0
77 1987 6 0 0
78 1993 6 0 0
79 2000 7.5 1.25 0
80 2008 8.5 1 0
81 2016 8 -0.25 0
82 2024 8 0 0
83 2032 8 0 0
84 2040 8 0 0
85 2048 8 0 0
86 2055 6.5 -1.25 0
87 2062 7 0.25 0
88 2067 4 -2.5 0
89 2070 2 -2 0
90 2074 4.5 1.75 0
91 2081 8.5 3.5 0
92 2090 10 1.75 0
93 2098 7.5 -1.75 0
94 2103 3.5 -3.5 0
95 2104 -1 -4.25 0
96 2105 1 1 0
97 2107 2.5 1.25 0
98 2113 8 4.75 0
99 2123 12 4 0
100 2136 14.5 2.75 0
101 2146 8.5 -4.5 0
102 2151 2.5 -5.5 0
103 2152 -1 -3.75 0
104 2153 1 1 0
105 2158 7 5 0
106 2166 9.5 2.75 0
107 2179 15.5 5.5 0
108 2188 7 -6.25 0
109 2194 4.5 -2.75 0
110 2196 0 -4.25 0
111 2197 0.5 -0.25 0
112 2199 2.5 1.5 0
113 2201 2 -0.25 0
114 2203 2 0 0
115 2205 2 0 0
116 2207 2 0 0
117 2210 3.5 1.25 0
118 2212 1.5 -1.5 0
119 2215 3.5 1.5 0
120 2218 3 -0.25 0
121 2221 3 0 0
122 2224 3 0 0
123 2227 3 0 0
124 2230 3 0 0
125 2240 13.5 8.75 0
126 2258 22 8.25 0
127 2283 28.5 6.75 0
128 2299 11.5 -13 0
129 2307 4 -7.75 0
130 2308 -2.5 -6.75 0
131 2309 1 1.75 0
132 2310 1 0 0
133 2312 2.5 1.25 0
134 2313 0.5 -1.5 0
135 2315 2.5 1.5 0
136 2317 2 -0.25 0
137 2320 3.5 1.25 0
138 2323 3 -0.25 0
139 2326 3 0 0
140 2329 3 0 0
141 2332 3 0 0
142 2335 3 0 0
143 2335 -1.5 -3.75 0
144 2339 6 5.75 0
145 2342 2.5 -2.25 0
146 2346 4.5 1.5 0
147 2349 2.5 -1.5 0
148 2352 3 0.25 0
149 2364 16.5 11.25 0
150 2383 22.5 6.5 0
151 2410 31 8.25 0
152 2428 13.5 -13.25 0
153 2437 4.5 -9 0
154 2438 -3 -7.75 0
155 2439 1 2 0
156 2443 5.5 3.75 0
157 2453 13 6.75 0
158 2467 16 3.5 0
159 2478 9.5 -4.75 0
160 2484 3.5 -5.5 0
161 2486 0 -3.75 0
162 2487 0.5 -0.25 0
163 2488 1 0.25 0
164 2489 1 0 0
165 2491 2.5 1.25 0
166 2493 2 -0.25 0
167 2495 2 0 0
168 2497 2 0 0
169 2499 2 0 0
170 2501 2 0 0
171 2504 3.5 1.25 0
172 2507 3 -0.25 0
173 2510 3 0 0
174 2513 3 0 0
175 2517 4.5 1.25 0
176 2521 4 -0.25 0
177 2525 4 0 0
178 2529 4 0 0
179 2541 16 10 0
180 2563 27 10.5 0
