Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 504 nan nan
1 507 nan nan
2 509 1.5 -1
3 512 3.5 1.5
4 514 1.5 -1.5
5 516 2 0.25
6 519 3.5 1.25
7 521 1.5 -1.5
8 523 2 0.25
9 525 2 0
10 527 2 0
11 529 2 0
12 531 2 0
13 532 0.5 -1.25
14 534 2.5 1.5
15 536 2 -0.25
16 537 0.5 -1.25
17 539 2.5 1.5
18 541 2 -0.25
19 543 2 0
20 545 2 0
21 546 0.5 -1.25
22 547 1 0.25
23 549 2.5 1.25
24 551 2 -0.25
25 553 2 0
26 555 2 0
27 557 2 0
28 559 2 0
29 561 2 0
30 563 2 0
31 565 2 0
32 567 2 0
33 569 2 0
34 571 2 0
35 571 -1 -2.5
36 573 3 3
37 575 2 -0.5
38 577 2 0
39 580 3.5 1.25
40 582 1.5 -1.5
41 584 2 0.25
42 586 2 0
43 589 3.5 1.25
44 591 1.5 -1.5
45 593 2 0.25
46 596 3.5 1.25
47 598 1.5 -1.5
48 604 8 5.25
49 618 18 9
50 634 17 0.5
51 648 13 -3
52 664 17 3
53 680 16 -0.5
54 698 19 2.5
55 716 18 -0.5
56 736 21 2.5
57 756 20 -0.5
58 772 14 -5
59 790 19 3.5
60 808 18 -0.5
61 826 18 0
62 846 21 2.5
63 868 23 2
64 888 19 -3
65 908 20 0.5
66 926 17 -2.5
67 946 21 3
68 966 20 -0.5
69 984 17 -2.5
70 1002 18 0.5
71 1011 4.5 -11.25
72 1021 10.5 3.5
73 1032 11.5 1
74 1044 12.5 1
75 1056 12 -0.25
76 1068 12 0
77 1080 12 0
78 1093 13.5 1.25
79 1104 10 -2.75
80 1116 12.5 1.75
81 1127 10.5 -1.5
82 1138 11 0.25
83 1149 11 0
84 1161 12.5 1.25
85 1173 12 -0.25
86 1184 10.5 -1.25
87 1196 12.5 1.5
88 1207 10.5 -1.5
89 1219 12.5 1.5
90 1230 10.5 -1.5
91 1242 12.5 1.5
92 1253 10.5 -1.5
93 1265 12.5 1.5
94 1277 12 -0.25
95 1290 13.5 1.25
96 1302 11.5 -1.5
97 1314 12 0.25
98 1325 10.5 -1.25
99 1337 12.5 1.5
100 1349 12 -0.25
101 1361 12 0
102 1372 10.5 -1.25
103 1384 12.5 1.5
104 1395 10.5 -1.5
105 1406 11 0.25
106 1417 11 0
107 1428 11 0
108 1440 12.5 1.25
109 1450 9 -2.75
110 1461 11.5 1.75
111 1471 9.5 -1.5
112 1481 10 0.25
113 1491 10 0
114 1502 11.5 1.25
115 1513 11 -0.25
116 1524 11 0
117 1535 11 0
