Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 419 nan nan 0
1 416 nan nan 0
2 414 -1.5 1 0
3 413 -0.5 1 0
4 413 0.5 1 0
5 414 1.5 1 0
6 416 2.5 1 0
7 422 8 4.75 0
8 429 7.5 0.25 0
9 437 8.5 1 0
10 444 6.5 -1.5 0
11 452 8.5 1.5 0
12 458 5 -2.75 0
13 465 7.5 1.75 0
14 472 7 -0.25 0
15 478 5.5 -1.25 0
16 483 4.5 -1 0
17 487 3.5 -1 0
18 490 2.5 -1 0
19 494 4.5 1.5 0
20 499 5.5 1 0
21 502 2 -2.75 0
22 502 -1.5 -3.25 0
23 503 1.5 2 0
24 503 -0.5 -1.5 0
25 503 0 0.25 0
26 503 0 0 0
27 503 0 0 0
28 504 1.5 1.25 0
29 504 -0.5 -1.5 0
30 504 0 0.25 0
31 504 0 0 0
32 505 1.5 1.25 0
33 505 -0.5 -1.5 0
34 506 1.5 1.5 0
35 506 -0.5 -1.5 0
36 506 0 0.25 0
37 507 1.5 1.25 0
38 507 -0.5 -1.5 0
39 508 1.5 1.5 0
40 508 -0.5 -1.5 0
41 509 1.5 1.5 0
42 509 -0.5 -1.5 0
43 510 1.5 1.5 0
44 511 1 -0.25 0
45 511 -0.5 -1.25 0
46 512 1.5 1.5 0
47 513 1 -0.25 0
48 513 -0.5 -1.25 0
49 516 4.5 4 0
50 520 4.5 0.5 0
51 526 7 2.25 0
52 530 3 -3 0
53 533 2.5 -0.75 0
54 535 1.5 -1 0
55 537 2 0.25 0
56 539 2 0 0
57 541 2 0 0
58 541 -1 -2.5 0
59 543 3 3 0
60 544 0.5 -1.75 0
61 546 2.5 1.5 0
62 548 2 -0.25 0
63 550 2 0 0
64 553 3.5 1.25 0
65 555 1.5 -1.5 0
66 557 2 0.25 0
67 559 2 0 0
68 561 2 0 0
69 563 2 0 0
70 566 3.5 1.25 0
71 569 3 -0.25 0
72 571 1.5 -1.25 0
73 574 3.5 1.5 0
74 577 3 -0.25 0
75 580 3 0 0
76 582 1.5 -1.25 0
77 585 3.5 1.5 0
