Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 383 nan nan 0
1 383 nan nan 0
2 383 0 0 0
3 381 -3 -2.5 0
4 375 -8 -4.5 0
5 362 -16.5 -7.75 0
14 294 -2.65556 4.72889 0
15 360 73.3556 15.3922 0
16 372 -15 -71.1778 0
17 383 10.5 12.25 0
18 393 9.5 -1 0
19 413 25 12.75 0
20 462 63.5 33.75 0
21 503 37 -17.25 0
22 516 -1 -33 0
23 528 11.5 5.75 0
24 539 10.5 -1 0
25 549 9.5 -1 0
26 549 -5 -12.25 0
27 558 13.5 13.75 0
28 567 9 -2.25 0
29 574 6 -2.5 0
30 582 8.5 1.75 0
31 588 5 -2.75 0
32 595 7.5 1.75 0
33 602 7 -0.25 0
34 636 47.5 33.75 0
35 668 31 -9.25 0
36 702 35 3 0
37 732 28 -5.5 0
38 764 33 3.5 0
39 794 29 -3 0
40 822 27 -2 0
41 852 31 3 0
42 880 27 -3 0
43 908 28 0.5 0
44 936 28 0 0
45 964 28 0 0
46 992 28 0 0
47 1011 14.5 -11.25 0
48 1025 11.5 -4 0
49 1039 14 1.25 0
50 1051 11 -2.5 0
51 1064 13.5 1.75 0
52 1076 11.5 -1.5 0
53 1089 13.5 1.5 0
54 1101 11.5 -1.5 0
55 1113 12 0.25 0
56 1126 13.5 1.25 0
57 1138 11.5 -1.5 0
58 1149 10.5 -1 0
59 1161 12.5 1.5 0
60 1171 9 -2.75 0
61 1182 11.5 1.75 0
62 1193 11 -0.25 0
63 1204 11 0 0
64 1216 12.5 1.25 0
65 1226 9 -2.75 0
66 1236 10 0.5 0
67 1245 8.5 -1.25 0
68 1255 10.5 1.5 0
69 1265 10 -0.25 0
70 1275 10 0 0
71 1285 10 0 0
72 1294 8.5 -1.25 0
73 1304 10.5 1.5 0
74 1312 7 -2.75 0
75 1321 9.5 1.75 0
76 1329 7.5 -1.5 0
77 1338 9.5 1.5 0
78 1347 9 -0.25 0
79 1356 9 0 0
80 1366 10.5 1.25 0
81 1375 8.5 -1.5 0
82 1385 10.5 1.5 0
83 1394 8.5 -1.5 0
84 1403 9 0.25 0
85 1410 6 -2.5 0
86 1418 8.5 1.75 0
87 1425 6.5 -1.5 0
88 1433 8.5 1.5 0
89 1441 8 -0.25 0
90 1449 8 0 0
91 1456 6.5 -1.25 0
92 1463 7 0.25 0
93 1470 7 0 0
94 1477 7 0 0
95 1484 7 0 0
96 1491 7 0 0
97 1498 7 0 0
98 1504 5.5 -1.25 0
99 1511 7.5 1.5 0
100 1518 7 -0.25 0
101 1524 5.5 -1.25 0
102 1531 7.5 1.5 0
103 1537 5.5 -1.5 0
104 1544 7.5 1.5 0
105 1550 5.5 -1.5 0
106 1557 7.5 1.5 0
107 1564 7 -0.25 0
108 1571 7 0 0
109 1578 7 0 0
110 1585 7 0 0
111 1591 5.5 -1.25 0
