Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2]
0 449 nan nan
1 400 nan nan
2 400 24.5 49
3 400 0 -12.25
4 400 0 0
5 400 0 0
6 402 3 2.5
7 408 8 4.5
8 419 13.5 5.25
9 430 11 -1.25
10 438 6.5 -3.75
11 443 3.5 -3
12 445 0.5 -3
13 446 0.5 -0.5
14 446 -0.5 -1
15 446 0 0.25
16 446 0 0
17 447 1.5 1.25
18 447 -0.5 -1.5
19 448 1.5 1.5
20 451 4 2.25
21 458 9 4.5
22 468 11.5 2.75
23 475 5.5 -4.5
24 479 2.5 -3
25 479 -2 -4.25
26 480 1.5 2.25
27 480 -0.5 -1.5
28 480 0 0.25
29 481 1.5 1.25
30 482 1 -0.25
31 485 4 2.5
32 492 9 4.5
33 501 10 1.5
34 503 -1.5 -9.25
35 503 -1 -0.75
36 504 1.5 1.75
37 505 1 -0.25
38 505 -0.5 -1.25
39 505 0 0.25
40 505 0 0
41 506 1.5 1.25
42 506 -0.5 -1.5
43 506 0 0.25
44 507 1.5 1.25
45 507 -0.5 -1.5
46 508 1.5 1.5
47 508 -0.5 -1.5
48 509 1.5 1.5
49 510 1 -0.25
50 510 -0.5 -1.25
51 511 1.5 1.5
52 512 1 -0.25
53 512 -0.5 -1.25
54 513 1.5 1.5
55 514 1 -0.25
56 515 1 0
57 515 -0.5 -1.25
58 516 1.5 1.5
59 517 1 -0.25
60 518 1 0
61 518 -0.5 -1.25
62 519 1.5 1.5
63 522 4 2.25
64 526 4.5 0.75
65 531 5.5 1
66 535 3.5 -1.5
67 537 1 -2.25
68 537 -1 -2
69 537 0 0.5
70 537 0 0
71 538 1.5 1.25
72 538 -0.5 -1.5
73 538 0 0.25
74 539 1.5 1.25
75 539 -0.5 -1.5
76 539 0 0.25
77 540 1.5 1.25
78 540 -0.5 -1.5
79 541 1.5 1.5
80 541 -0.5 -1.5
81 542 1.5 1.5
82 542 -0.5 -1.5
83 543 1.5 1.5
84 544 1 -0.25
85 544 -0.5 -1.25
86 545 1.5 1.5
87 545 -0.5 -1.5
88 546 1.5 1.5
89 546 -0.5 -1.5
90 547 1.5 1.5
91 547 -0.5 -1.5
92 548 1.5 1.5
93 548 -0.5 -1.5
94 549 1.5 1.5
95 550 1 -0.25
96 550 -0.5 -1.25
97 551 1.5 1.5
98 552 1 -0.25
99 552 -0.5 -1.25
100 553 1.5 1.5
101 553 -0.5 -1.5
102 554 1.5 1.5
103 555 1 -0.25
104 555 -0.5 -1.25
105 556 1.5 1.5
106 557 1 -0.25
107 557 -0.5 -1.25
108 558 1.5 1.5
109 559 1 -0.25
110 559 -0.5 -1.25
111 560 1.5 1.5
112 561 1 -0.25
113 561 -0.5 -1.25
114 562 1.5 1.5
115 563 1 -0.25
116 563 -0.5 -1.25
117 564 1.5 1.5
118 565 1 -0.25
119 565 -0.5 -1.25
120 566 1.5 1.5
121 567 1 -0.25
122 567 -0.5 -1.25
123 568 1.5 1.5
124 569 1 -0.25
125 569 -0.5 -1.25
126 570 1.5 1.5
127 571 1 -0.25
128 571 -0.5 -1.25
129 572 1.5 1.5
130 573 1 -0.25
131 573 -0.5 -1.25
132 574 1.5 1.5
133 574 -0.5 -1.5
134 575 1.5 1.5
135 576 1 -0.25
136 576 -0.5 -1.25
137 577 1.5 1.5
138 578 1 -0.25
139 578 -0.5 -1.25
140 579 1.5 1.5
141 580 1 -0.25
142 580 -0.5 -1.25
143 581 1.5 1.5
144 582 1 -0.25
145 582 -0.5 -1.25
146 583 1.5 1.5
147 584 1 -0.25
148 584 -0.5 -1.25
149 585 1.5 1.5
150 586 1 -0.25
151 586 -0.5 -1.25
152 587 1.5 1.5
153 588 1 -0.25
154 588 -0.5 -1.25
155 589 1.5 1.5
156 590 1 -0.25
157 590 -0.5 -1.25
158 591 1.5 1.5
159 591 -0.5 -1.5
160 592 1.5 1.5
161 592 -0.5 -1.5
162 593 1.5 1.5
163 593 -0.5 -1.5
164 594 1.5 1.5
165 595 1 -0.25
166 595 -0.5 -1.25
167 596 1.5 1.5
168 597 1 -0.25
169 597 -0.5 -1.25
170 598 1.5 1.5
171 599 1 -0.25
