Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 397 nan nan 0
1 395 nan nan 0
2 393 -2 0 0
3 391 -2 0 0
4 390 -0.5 1.25 0
5 390 0.5 1 0
6 392 3 2.25 0
7 399 9.5 5.75 0
8 457 83.5 62.5 0
9 516 59.5 -11.5 0
10 549 20 -32.75 0
11 584 36 9 0
12 704 162.5 105.75 0
13 890 219 61.25 0
14 1031 118.5 -72.75 0
15 1109 46.5 -67.5 0
16 1180 67.5 7 0
17 1245 62 -5.75 0
18 1303 54.5 -7.25 0
19 1355 49 -5.75 0
20 1404 47.5 -2.25 0
21 1448 41.5 -5.5 0
22 1489 39.5 -2.5 0
23 1526 35 -4.25 0
24 1559 31 -4 0
25 1589 28.5 -2.75 0
26 1616 25.5 -3 0
27 1642 25.5 -0.5 0
28 1667 24.5 -1 0
29 1689 20.5 -3.5 0
30 1710 20.5 -0.5 0
31 1729 18 -2.25 0
32 1747 17.5 -0.75 0
33 1764 16.5 -1 0
34 1780 15.5 -1 0
35 1796 16 0.25 0
36 1812 16 0 0
37 1827 14.5 -1.25 0
38 1843 16.5 1.5 0
39 1857 13 -2.75 0
40 1872 15.5 1.75 0
41 1885 12 -2.75 0
42 1898 13 0.5 0
43 1910 11.5 -1.25 0
44 1922 12 0.25 0
45 1934 12 0 0
46 1945 10.5 -1.25 0
47 1957 12.5 1.5 0
48 1969 12 -0.25 0
49 1982 13.5 1.25 0
50 1996 14.5 1 0
51 2011 15.5 1 0
52 2026 15 -0.25 0
53 2040 13.5 -1.25 0
54 2053 12.5 -1 0
55 2066 13 0.25 0
56 2080 14.5 1.25 0
57 2093 12.5 -1.5 0
58 2105 11.5 -1 0
59 2117 12 0.25 0
60 2128 10.5 -1.25 0
61 2139 11 0.25 0
62 2151 12.5 1.25 0
63 2163 12 -0.25 0
64 2175 12 0 0
65 2186 10.5 -1.25 0
66 2186 -5.5 -13.5 0
67 2197 16.5 16.5 0
68 2208 11 -2.75 0
69 2218 9.5 -1.25 0
70 2229 11.5 1.5 0
71 2239 9.5 -1.5 0
72 2250 11.5 1.5 0
73 2260 9.5 -1.5 0
74 2271 11.5 1.5 0
75 2281 9.5 -1.5 0
76 2291 10 0.25 0
