Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 398 nan nan 0
1 396 nan nan 0
2 396 1 2 0
3 396 0 -0.5 0
4 396 0 0 0
5 397 1.5 1.25 0
6 397 -0.5 -1.5 0
7 398 1.5 1.5 0
8 415 25 19.75 0
9 457 54.5 27.25 0
10 505 51 1.25 0
11 525 6 -36.5 0
12 545 20 7 0
13 564 18.5 -1.25 0
14 582 17.5 -1 0
15 598 15 -2.25 0
16 672 103 73 0
17 752 83 -7 0
18 826 71 -9 0
19 896 68 -3.5 0
20 964 67 -1.5 0
21 1014 41 -22 0
22 1045 21.5 -19.25 0
23 1074 28 2.25 0
24 1102 27.5 -0.75 0
25 1128 25 -2.25 0
26 1154 26 0.5 0
27 1180 26 0 0
28 1204 23 -2.5 0
29 1228 24 0.5 0
30 1250 21 -2.5 0
31 1271 20.5 -0.75 0
32 1292 21 0.25 0
33 1312 19.5 -1.25 0
34 1332 20 0.25 0
35 1350 17 -2.5 0
36 1368 18 0.5 0
37 1384 15 -2.5 0
38 1400 16 0.5 0
39 1414 13 -2.5 0
40 1428 14 0.5 0
41 1440 11 -2.5 0
42 1453 13.5 1.75 0
43 1464 10 -2.75 0
44 1476 12.5 1.75 0
45 1486 9 -2.75 0
46 1496 10 0.5 0
47 1506 10 0 0
48 1515 8.5 -1.25 0
49 1525 10.5 1.5 0
50 1534 8.5 -1.5 0
51 1544 10.5 1.5 0
52 1554 10 -0.25 0
53 1565 11.5 1.25 0
54 1576 11 -0.25 0
55 1586 9.5 -1.25 0
56 1597 11.5 1.5 0
57 1606 8 -2.75 0
58 1615 9 0.5 0
59 1624 9 0 0
60 1632 7.5 -1.25 0
61 1639 6.5 -1 0
62 1647 8.5 1.5 0
63 1655 8 -0.25 0
64 1663 8 0 0
65 1670 6.5 -1.25 0
66 1678 8.5 1.5 0
67 1685 6.5 -1.5 0
68 1693 8.5 1.5 0
69 1701 8 -0.25 0
70 1709 8 0 0
71 1717 8 0 0
72 1724 6.5 -1.25 0
73 1732 8.5 1.5 0
74 1739 6.5 -1.5 0
75 1746 7 0.25 0
76 1753 7 0 0
77 1761 8.5 1.25 0
78 1767 5 -2.75 0
79 1773 6 0.5 0
80 1779 6 0 0
81 1785 6 0 0
82 1792 7.5 1.25 0
83 1799 7 -0.25 0
84 1805 5.5 -1.25 0
85 1811 6 0.25 0
86 1816 4.5 -1.25 0
87 1818 0.5 -3.5 0
88 1822 5 3.25 0
89 1827 5.5 0.75 0
90 1836 11 4.75 0
91 1845 9 -1 0
92 1852 6 -2.5 0
93 1858 5.5 -0.75 0
94 1862 3 -2.25 0
95 1864 1 -2 0
96 1865 0.5 -0.75 0
97 1866 1 0.25 0
98 1867 1 0 0
99 1871 5.5 3.75 0
100 1878 8.5 3 0
101 1889 13 4.25 0
102 1897 6.5 -4.75 0
103 1902 3.5 -3 0
104 1903 -1 -4.25 0
105 1904 1 1 0
106 1907 4 2.5 0
107 1913 7.5 3.25 0
108 1921 9 1.75 0
109 1926 3.5 -4.25 0
110 1929 2 -1.75 0
111 1930 0 -2 0
112 1931 1 0.5 0
113 1932 1 0 0
114 1933 1 0 0
115 1938 7 5 0
116 1946 9.5 2.75 0
117 1946 -4 -10.75 0
118 1958 18 17 0
119 1966 6 -8 0
120 1971 3.5 -2.75 0
121 1972 -1 -4.25 0
122 1973 1 1 0
123 1974 1 0 0
124 1975 1 0 0
125 1976 1 0 0
126 1978 2.5 1.25 0
127 1979 0.5 -1.5 0
128 1981 2.5 1.5 0
129 1983 2 -0.25 0
130 1985 2 0 0
131 1986 0.5 -1.25 0
132 1988 2.5 1.5 0
133 1990 2 -0.25 0
134 1992 2 0 0
135 1994 2 0 0
136 1996 2 0 0
137 1998 2 0 0
138 2001 3.5 1.25 0
139 2003 1.5 -1.5 0
140 2006 3.5 1.5 0
141 2009 3 -0.25 0
142 2013 4.5 1.25 0
143 2016 2.5 -1.5 0
144 2019 3 0.25 0
145 2022 3 0 0
146 2026 4.5 1.25 0
147 2029 2.5 -1.5 0
148 2032 3 0.25 0
149 2036 4.5 1.25 0
150 2040 4 -0.25 0
151 2043 2.5 -1.25 0
152 2047 4.5 1.5 0
153 2050 2.5 -1.5 0
154 2054 4.5 1.5 0
155 2057 2.5 -1.5 0
156 2061 4.5 1.5 0
157 2064 2.5 -1.5 0
158 2068 4.5 1.5 0
159 2072 4 -0.25 0
160 2076 4 0 0
161 2079 2.5 -1.25 0
162 2083 4.5 1.5 0
