Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 399 nan nan 0
1 398 nan nan 0
2 398 0.5 1 0
3 397 -1.5 -1.5 0
4 396 -1 0.25 0
5 394 -2.5 -1.25 0
6 392 -2 0.25 0
7 391 -0.5 1.25 0
8 391 0.5 1 0
9 395 6 4.75 0
10 421 37 26.5 0
11 499 104 59.5 0
12 533 12 -68 0
13 567 34 11 0
14 608 44.5 8.75 0
15 798 264.5 184.5 0
16 972 166 -57.25 0
17 1066 54 -96 0
18 1139 62.5 -6.25 0
19 1206 64 -2.25 0
20 1266 56.5 -7.25 0
21 1319 49.5 -7 0
22 1366 44 -5.75 0
23 1410 42.5 -2.25 0
24 1450 38 -4.25 0
25 1487 35.5 -2.75 0
26 1521 32.5 -3 0
27 1553 31 -1.75 0
28 1581 26 -4.5 0
29 1607 25 -1.5 0
30 1630 21.5 -3.25 0
31 1652 21.5 -0.5 0
32 1672 19 -2.25 0
33 1692 20 0.5 0
34 1711 18.5 -1.25 0
35 1729 17.5 -1 0
36 1746 16.5 -1 0
37 1762 15.5 -1 0
38 1778 16 0.25 0
39 1793 14.5 -1.25 0
40 1808 15 0.25 0
41 1823 15 0 0
42 1837 13.5 -1.25 0
43 1851 14 0.25 0
44 1863 11 -2.5 0
45 1876 13.5 1.75 0
46 1887 10 -2.75 0
47 1899 12.5 1.75 0
48 1911 12 -0.25 0
49 1923 12 0 0
50 1935 12 0 0
51 1947 12 0 0
52 1958 10.5 -1.25 0
53 1970 12.5 1.5 0
54 1982 12 -0.25 0
55 1994 12 0 0
56 2007 13.5 1.25 0
57 2020 13 -0.25 0
58 2032 11.5 -1.25 0
59 2043 10.5 -1 0
60 2054 11 0.25 0
61 2064 9.5 -1.25 0
62 2074 10 0.25 0
63 2085 11.5 1.25 0
64 2097 12.5 1 0
65 2109 12 -0.25 0
66 2121 12 0 0
67 2133 12 0 0
68 2144 10.5 -1.25 0
69 2156 12.5 1.5 0
70 2166 9 -2.75 0
71 2175 8.5 -0.75 0
72 2184 9 0.25 0
73 2192 7.5 -1.25 0
74 2202 11 2.75 0
75 2213 11.5 0.75 0
76 2226 14 2.25 0
77 2238 11.5 -1.75 0
78 2250 12 0.25 0
79 2260 9 -2.5 0
80 2269 8.5 -0.75 0
81 2278 9 0.25 0
82 2287 9 0 0
83 2298 12 2.5 0
84 2310 12.5 0.75 0
85 2321 10.5 -1.5 0
86 2333 12.5 1.5 0
87 2343 9 -2.75 0
88 2354 11.5 1.75 0
89 2364 9.5 -1.5 0
90 2374 10 0.25 0
91 2383 8.5 -1.25 0
92 2392 9 0.25 0
93 2401 9 0 0
94 2410 9 0 0
95 2419 9 0 0
96 2429 10.5 1.25 0
97 2439 10 -0.25 0
98 2450 11.5 1.25 0
99 2460 9.5 -1.5 0
100 2471 11.5 1.5 0
101 2481 9.5 -1.5 0
102 2491 10 0.25 0
103 2502 11.5 1.25 0
104 2513 11 -0.25 0
105 2524 11 0 0
106 2534 9.5 -1.25 0
107 2545 11.5 1.5 0
108 2556 11 -0.25 0
109 2556 -5.5 -13.75 0
110 2567 16.5 16.5 0
111 2579 12.5 -1.5 0
112 2591 12 -0.25 0
113 2603 12 0 0
114 2614 10.5 -1.25 0
115 2624 9.5 -1 0
116 2633 8.5 -1 0
117 2642 9 0.25 0
118 2653 12 2.5 0
119 2665 12.5 0.75 0
120 2677 12 -0.25 0
121 2688 10.5 -1.25 0
122 2700 12.5 1.5 0
123 2711 10.5 -1.5 0
124 2723 12.5 1.5 0
125 2734 10.5 -1.5 0
