Time[s] CO2_smooth[ppm] dCO2_dt[ppm/s] d2CO2_dt2[ppm/s^2] stim_f[Hz]
0 399 nan nan 0
1 395 nan nan 0
2 391 -4 0 0
3 388 -2.5 1.25 0
4 385 -3 -0.25 0
5 383 -1.5 1.25 0
6 382 -0.5 1 0
7 381 -1 -0.25 0
8 382 2 2.5 0
9 386 5.5 3.25 0
10 394 10 4.25 0
11 430 50 34 0
12 503 91.5 39.25 0
13 529 2.5 -68 0
14 555 26 11.75 0
15 579 23 -2.5 0
16 600 19.5 -3.25 0
17 708 151.5 109.5 0
18 804 90 -36.75 0
19 886 75 -14.5 0
20 962 73 -4 0
21 1015 41.5 -27.25 0
22 1046 20 -21.75 0
23 1073 25 0.5 0
24 1098 24 -1.5 0
25 1120 20.5 -3.25 0
26 1142 22 0.75 0
27 1162 19 -2.5 0
28 1181 18.5 -0.75 0
29 1198 16 -2.25 0
30 1214 15.5 -0.75 0
31 1228 13 -2.25 0
32 1242 14 0.5 0
33 1256 14 0 0
34 1269 12.5 -1.25 0
35 1283 14.5 1.5 0
36 1295 11 -2.75 0
37 1307 12 0.5 0
38 1318 10.5 -1.25 0
39 1329 11 0.25 0
40 1340 11 0 0
41 1351 11 0 0
42 1363 12.5 1.25 0
43 1373 9 -2.75 0
44 1383 10 0.5 0
45 1393 10 0 0
46 1402 8.5 -1.25 0
47 1410 7.5 -1 0
48 1419 9.5 1.5 0
49 1427 7.5 -1.5 0
50 1434 6.5 -1 0
51 1442 8.5 1.5 0
52 1450 8 -0.25 0
53 1458 8 0 0
54 1466 8 0 0
55 1473 6.5 -1.25 0
56 1481 8.5 1.5 0
57 1489 8 -0.25 0
58 1497 8 0 0
59 1505 8 0 0
60 1513 8 0 0
61 1520 6.5 -1.25 0
62 1527 7 0.25 0
63 1533 5.5 -1.25 0
64 1539 6 0.25 0
65 1546 7.5 1.25 0
66 1553 7 -0.25 0
67 1559 5.5 -1.25 0
68 1566 7.5 1.5 0
